adapter,target_role,slice_name,candidate_path,target_path,source_url,source_page,license,source_note,sha256,short_rationale,width,height,format,source_kind
grape__fruit,ood,grape_fruit_unknowns,data\internet_image_candidates\20260517_aads_ood_oe_readiness\grape__fruit\ood\grape_fruit_unknowns\bugwood_bugwood_5459211_grape_black_rot_fruit.jpg,data\prepared_runtime_datasets\grape__fruit\ood\grape_fruit_unknowns\internet_20260517_bugwood_bugwood_5459211_grape_black_rot_fruit.jpg,https://bugwoodcloud.org/images/768x512/5459211.jpg,https://www.invasive.org/browse/detail.cfm?imgnum=5459211,Bugwood/Invasive.org source page; review page license before publication,Bugwood/Invasive.org source page; review page license before publication,849a1f892b4acd800a33622f8bee7d05d60c34672901fe6bc001ef51572c75d4,"Unsupported grape fruit disease/condition candidate for grape_fruit_unknowns; kept as final OOD evidence candidate, not OE.",768,576,,bugwood
grape__fruit,ood,grape_fruit_unknowns,data\internet_image_candidates\20260517_aads_ood_oe_readiness\grape__fruit\ood\grape_fruit_unknowns\bugwood_bugwood_5492251_grape_bitter_rot_fruit.jpg,data\prepared_runtime_datasets\grape__fruit\ood\grape_fruit_unknowns\internet_20260517_bugwood_bugwood_5492251_grape_bitter_rot_fruit.jpg,https://bugwoodcloud.org/images/768x512/5492251.jpg,https://www.invasive.org/browse/detail.cfm?imgnum=5492251,Bugwood/Invasive.org source page; review page license before publication,Bugwood/Invasive.org source page; review page license before publication,c01e694ac4ff92612a4effe4f6e44d787714d4f72988562c1025fc16207aa547,"Unsupported grape fruit disease/condition candidate for grape_fruit_unknowns; kept as final OOD evidence candidate, not OE.",768,510,,bugwood
grape__fruit,ood,grape_fruit_unknowns,data\internet_image_candidates\20260517_aads_ood_oe_readiness\grape__fruit\ood\grape_fruit_unknowns\bugwood_bugwood_1235044_grape_bitter_rot_fruit.jpg,data\prepared_runtime_datasets\grape__fruit\ood\grape_fruit_unknowns\internet_20260517_bugwood_bugwood_1235044_grape_bitter_rot_fruit.jpg,https://bugwoodcloud.org/images/768x512/1235044.jpg,https://www.invasive.org/browse/detail.cfm?imgnum=1235044,Bugwood/Invasive.org source page; review page license before publication,Bugwood/Invasive.org source page; review page license before publication,61afacf74f435237ea099e5b92c48b8d562ff4663e258a790d4a34e105d1e27a,"Unsupported grape fruit disease/condition candidate for grape_fruit_unknowns; kept as final OOD evidence candidate, not OE.",768,768,,bugwood
grape__fruit,ood,grape_fruit_unknowns,data\internet_image_candidates\20260517_aads_ood_oe_readiness\grape__fruit\ood\grape_fruit_unknowns\bugwood_bugwood_1436094_grape_bitter_rot_fruit.jpg,data\prepared_runtime_datasets\grape__fruit\ood\grape_fruit_unknowns\internet_20260517_bugwood_bugwood_1436094_grape_bitter_rot_fruit.jpg,https://bugwoodcloud.org/images/768x512/1436094.jpg,https://www.invasive.org/browse/detail.cfm?imgnum=1436094,Bugwood/Invasive.org source page; review page license before publication,Bugwood/Invasive.org source page; review page license before publication,672b1a9c41dd9872e1e68bb55395c60041d108cbfbd37afc7e1df01b195da44d,"Unsupported grape fruit disease/condition candidate for grape_fruit_unknowns; kept as final OOD evidence candidate, not OE.",768,512,,bugwood
grape__fruit,ood,grape_fruit_unknowns,data\internet_image_candidates\20260517_aads_ood_oe_readiness\grape__fruit\ood\grape_fruit_unknowns\bugwood_bugwood_1235043_grape_bitter_rot_fruit.jpg,data\prepared_runtime_datasets\grape__fruit\ood\grape_fruit_unknowns\internet_20260517_bugwood_bugwood_1235043_grape_bitter_rot_fruit.jpg,https://bugwoodcloud.org/images/768x512/1235043.jpg,https://www.invasive.org/browse/detail.cfm?imgnum=1235043,Bugwood/Invasive.org source page; review page license before publication,Bugwood/Invasive.org source page; review page license before publication,29493b6c2d6e31af64a0eb6d6f21623e15bcc760529a2c5f3083fe7fdf892a13,"Unsupported grape fruit disease/condition candidate for grape_fruit_unknowns; kept as final OOD evidence candidate, not OE.",768,768,,bugwood
grape__fruit,ood,grape_fruit_unknowns,data\internet_image_candidates\20260517_aads_ood_oe_readiness\grape__fruit\ood\grape_fruit_unknowns\wikimedia_Ampelomyia_conicocoricis_imported_from_iNaturalist_photo_1055455_on_27_December_2022.jpg.jpg,data\prepared_runtime_datasets\grape__fruit\ood\grape_fruit_unknowns\internet_20260517_wikimedia_Ampelomyia_conicocoricis_imported_from_iNaturalist_photo_1055455_on_27_December_2022.jpg.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Ampelomyia_conicocoricis_imported_from_iNaturalist_photo_1055455_on_27_December_2022.jpg/960px-Ampelomyia_conicocoricis_imported_from_iNaturalist_photo_1055455_on_27_December_2022.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://commons.wikimedia.org/wiki/File:Ampelomyia_conicocoricis_imported_from_iNaturalist_photo_1055455_on_27_December_2022.jpg,"Wikimedia Commons: CC BY-SA 4.0; (c) harum.koh, some rights reserved (CC BY-SA)","Wikimedia Commons: CC BY-SA 4.0; (c) harum.koh, some rights reserved (CC BY-SA)",19e87131384246bf3829f07be65d16dde8822e33d5d559f97d8e43681b591864,"Unsupported grape fruit disease/condition candidate for grape_fruit_unknowns; kept as final OOD evidence candidate, not OE.",960,640,,wikimedia
grape__fruit,ood,grape_fruit_unknowns,data\internet_image_candidates\20260517_aads_ood_oe_readiness\grape__fruit\ood\grape_fruit_unknowns\wikimedia_Ampelomyia_viticola_Newport_N.H.jpg.jpg,data\prepared_runtime_datasets\grape__fruit\ood\grape_fruit_unknowns\internet_20260517_wikimedia_Ampelomyia_viticola_Newport_N.H.jpg.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Ampelomyia_viticola%2C_Newport%2C_N.H.jpg/960px-Ampelomyia_viticola%2C_Newport%2C_N.H.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,"https://commons.wikimedia.org/wiki/File:Ampelomyia_viticola,_Newport,_N.H.jpg",Wikimedia Commons: CC BY-SA 4.0; Amcamfield2,Wikimedia Commons: CC BY-SA 4.0; Amcamfield2,49b4ada789ea25d9df652af9579b404267d558d1797a9054302b7357af711f8a,"Unsupported grape fruit disease/condition candidate for grape_fruit_unknowns; kept as final OOD evidence candidate, not OE.",960,1446,,wikimedia
grape__fruit,ood,grape_fruit_unknowns,data\internet_image_candidates\20260517_aads_ood_oe_readiness\grape__fruit\ood\grape_fruit_unknowns\wikimedia_Ampelomyia_vitispomum_imported_from_iNaturalist_photo_223988238_on_27_December_2022.jpg.jpg,data\prepared_runtime_datasets\grape__fruit\ood\grape_fruit_unknowns\internet_20260517_wikimedia_Ampelomyia_vitispomum_imported_from_iNaturalist_photo_223988238_on_27_December_2022.jpg.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Ampelomyia_vitispomum_imported_from_iNaturalist_photo_223988238_on_27_December_2022.jpg/960px-Ampelomyia_vitispomum_imported_from_iNaturalist_photo_223988238_on_27_December_2022.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://commons.wikimedia.org/wiki/File:Ampelomyia_vitispomum_imported_from_iNaturalist_photo_223988238_on_27_December_2022.jpg,"Wikimedia Commons: CC BY 4.0; (c) Steven Lamonde, some rights reserved (CC BY)","Wikimedia Commons: CC BY 4.0; (c) Steven Lamonde, some rights reserved (CC BY)",ccfb9daf6eb17a5753a862a4f2efb8241fefa8bb97c53719ef34891f494d67b5,"Unsupported grape fruit disease/condition candidate for grape_fruit_unknowns; kept as final OOD evidence candidate, not OE.",960,684,,wikimedia
grape__fruit,ood,grape_fruit_unknowns,data\internet_image_candidates\20260517_aads_ood_oe_readiness\grape__fruit\ood\grape_fruit_unknowns\wikimedia_Antispila_vitis2_mine.JPG.jpg,data\prepared_runtime_datasets\grape__fruit\ood\grape_fruit_unknowns\internet_20260517_wikimedia_Antispila_vitis2_mine.JPG.jpg,https://upload.wikimedia.org/wikipedia/commons/0/0a/Antispila_vitis2_mine.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,https://commons.wikimedia.org/wiki/File:Antispila_vitis2_mine.JPG,"Wikimedia Commons: CC BY 3.0; Erik van Nieukerken, David Wagner, Mario Baldessari, Luca Mazzon, Gino Angeli, Vincenzo Girolami, Carlo Duso, Camiel Doo","Wikimedia Commons: CC BY 3.0; Erik van Nieukerken, David Wagner, Mario Baldessari, Luca Mazzon, Gino Angeli, Vincenzo Girolami, Carlo Duso, Camiel Doo",fbd6ec9653788ddc6534c450b16f5c8c4392fee72a753ee9a786e95d3c6cc384,"Unsupported grape fruit disease/condition candidate for grape_fruit_unknowns; kept as final OOD evidence candidate, not OE.",342,271,,wikimedia
grape__fruit,ood,grape_fruit_unknowns,data\internet_image_candidates\20260517_aads_ood_oe_readiness\grape__fruit\ood\grape_fruit_unknowns\wikimedia_Antispila_vitis2_mine1.JPG.jpg,data\prepared_runtime_datasets\grape__fruit\ood\grape_fruit_unknowns\internet_20260517_wikimedia_Antispila_vitis2_mine1.JPG.jpg,https://upload.wikimedia.org/wikipedia/commons/9/9a/Antispila_vitis2_mine1.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,https://commons.wikimedia.org/wiki/File:Antispila_vitis2_mine1.JPG,"Wikimedia Commons: CC BY 3.0; Erik van Nieukerken, David Wagner, Mario Baldessari, Luca Mazzon, Gino Angeli, Vincenzo Girolami, Carlo Duso, Camiel Doo","Wikimedia Commons: CC BY 3.0; Erik van Nieukerken, David Wagner, Mario Baldessari, Luca Mazzon, Gino Angeli, Vincenzo Girolami, Carlo Duso, Camiel Doo",ca878efdb1f457fa5a46f963d708a2e6e47ab6934cea275179ff89142bbc8e88,"Unsupported grape fruit disease/condition candidate for grape_fruit_unknowns; kept as final OOD evidence candidate, not OE.",346,216,,wikimedia
