local_path,adapter_key,intended_split,slice_name,source_url,source_page,license/source_name,sha256,short_reason,width,height,source_kind
data\internet_image_candidates\20260520_targeted_quality_ood_oe_candidates\grape__fruit\ood\grape_fruit_failure_cases\bugwood_5608050_grape_fruit_failure_cases.jpg,grape__fruit,ood,grape_fruit_failure_cases,https://bugwoodcloud.org/images/768x512/5608050.jpg,https://www.invasive.org/browse/detail.cfm?imgnum=5608050,Bugwood/Invasive.org source page; review exact page license before publication; Bugwood/Invasive.org,ccb7122bc65f4505c2f72d60413955a3f6b437a3712f394fd035c08f886f1cdc,Grape fruit field-cluster failure case from Bugwood; useful for held-out unsupported fruit evidence.,512,768,bugwood
data\internet_image_candidates\20260520_targeted_quality_ood_oe_candidates\grape__fruit\ood\grape_fruit_failure_cases\bugwood_5608051_grape_fruit_failure_cases.jpg,grape__fruit,ood,grape_fruit_failure_cases,https://bugwoodcloud.org/images/768x512/5608051.jpg,https://www.invasive.org/browse/detail.cfm?imgnum=5608051,Bugwood/Invasive.org source page; review exact page license before publication; Bugwood/Invasive.org,19f6e61cdd10c785ea3f495a98ea89cd59c0e99a93b3fbfb0a7b41891994d62d,Grape fruit field-cluster failure case from Bugwood; useful for held-out unsupported fruit evidence.,768,512,bugwood
data\internet_image_candidates\20260520_targeted_quality_ood_oe_candidates\grape__fruit\ood\grape_fruit_failure_cases\bugwood_5608052_grape_fruit_failure_cases.jpg,grape__fruit,ood,grape_fruit_failure_cases,https://bugwoodcloud.org/images/768x512/5608052.jpg,https://www.invasive.org/browse/detail.cfm?imgnum=5608052,Bugwood/Invasive.org source page; review exact page license before publication; Bugwood/Invasive.org,d698a42a3f5301e9ddf78eb0bbd52a466d06d516be8e84162773d1dee9f04b0d,Grape fruit field-cluster failure case from Bugwood; useful for held-out unsupported fruit evidence.,512,768,bugwood
data\internet_image_candidates\20260520_targeted_quality_ood_oe_candidates\grape__fruit\ood\grape_fruit_failure_cases\bugwood_5608055_grape_fruit_failure_cases.jpg,grape__fruit,ood,grape_fruit_failure_cases,https://bugwoodcloud.org/images/768x512/5608055.jpg,https://www.invasive.org/browse/detail.cfm?imgnum=5608055,Bugwood/Invasive.org source page; review exact page license before publication; Bugwood/Invasive.org,8a1a32759013405fd54962e565cab6a64701f0b4c7c856bcfeef5af0b1697280,Grape fruit field-cluster failure case from Bugwood; useful for held-out unsupported fruit evidence.,512,768,bugwood
data\internet_image_candidates\20260520_targeted_quality_ood_oe_candidates\grape__fruit\ood\grape_fruit_failure_cases\bugwood_5608056_grape_fruit_failure_cases.jpg,grape__fruit,ood,grape_fruit_failure_cases,https://bugwoodcloud.org/images/768x512/5608056.jpg,https://www.invasive.org/browse/detail.cfm?imgnum=5608056,Bugwood/Invasive.org source page; review exact page license before publication; Bugwood/Invasive.org,9f06cb651e477c19a372dae82347ce670c8452ff9ad9b83f713b0a21ed7c2514,Grape fruit field-cluster failure case from Bugwood; useful for held-out unsupported fruit evidence.,512,768,bugwood
data\internet_image_candidates\20260520_targeted_quality_ood_oe_candidates\grape__fruit\ood\grape_fruit_failure_cases\bugwood_5608057_grape_fruit_failure_cases.jpg,grape__fruit,ood,grape_fruit_failure_cases,https://bugwoodcloud.org/images/768x512/5608057.jpg,https://www.invasive.org/browse/detail.cfm?imgnum=5608057,Bugwood/Invasive.org source page; review exact page license before publication; Bugwood/Invasive.org,c8f5f6e62e8ad4bf74abd643a5cbb90a44078fef4f2df89546a567e2f1f66008,Grape fruit field-cluster failure case from Bugwood; useful for held-out unsupported fruit evidence.,768,512,bugwood
data\internet_image_candidates\20260520_targeted_quality_ood_oe_candidates\grape__fruit\ood\grape_fruit_unknowns\bugwood_5459200_grape_fruit_unknowns.jpg,grape__fruit,ood,grape_fruit_unknowns,https://bugwoodcloud.org/images/768x512/5459200.jpg,https://www.invasive.org/browse/detail.cfm?imgnum=5459200,Bugwood/Invasive.org source page; review exact page license before publication; Bugwood/Invasive.org,e0dd3b7b354ff665aea25c5bd117e8c2e6c82171b85561a3de819267c0e8ff29,Grape black-rot or rotted fruit candidate from Bugwood; unsupported fruit disease held out for OOD.,768,579,bugwood
data\internet_image_candidates\20260520_targeted_quality_ood_oe_candidates\grape__fruit\ood\grape_fruit_unknowns\bugwood_5459201_grape_fruit_unknowns.jpg,grape__fruit,ood,grape_fruit_unknowns,https://bugwoodcloud.org/images/768x512/5459201.jpg,https://www.invasive.org/browse/detail.cfm?imgnum=5459201,Bugwood/Invasive.org source page; review exact page license before publication; Bugwood/Invasive.org,ca6d71af8e8037fbb4d319e004ce602f138e70a305c88de73d0a6f64968ee5be,Grape black-rot or rotted fruit candidate from Bugwood; unsupported fruit disease held out for OOD.,768,579,bugwood
data\internet_image_candidates\20260520_targeted_quality_ood_oe_candidates\grape__fruit\ood\grape_fruit_unknowns\bugwood_5459202_grape_fruit_unknowns.jpg,grape__fruit,ood,grape_fruit_unknowns,https://bugwoodcloud.org/images/768x512/5459202.jpg,https://www.invasive.org/browse/detail.cfm?imgnum=5459202,Bugwood/Invasive.org source page; review exact page license before publication; Bugwood/Invasive.org,cd8c886a026e19eff1b8e12cfb6c96595123bd5a5959a3ca175948181e09f09f,Grape black-rot or rotted fruit candidate from Bugwood; unsupported fruit disease held out for OOD.,768,579,bugwood
data\internet_image_candidates\20260520_targeted_quality_ood_oe_candidates\grape__fruit\ood\grape_fruit_unknowns\bugwood_5459203_grape_fruit_unknowns.jpg,grape__fruit,ood,grape_fruit_unknowns,https://bugwoodcloud.org/images/768x512/5459203.jpg,https://www.invasive.org/browse/detail.cfm?imgnum=5459203,Bugwood/Invasive.org source page; review exact page license before publication; Bugwood/Invasive.org,4d3d4a9830e2a929f812703f60a4a1d19dfca67461097fa18b3090fc79dc3b55,Grape black-rot or rotted fruit candidate from Bugwood; unsupported fruit disease held out for OOD.,768,579,bugwood
data\internet_image_candidates\20260520_targeted_quality_ood_oe_candidates\grape__fruit\ood\grape_fruit_unknowns\bugwood_5459204_grape_fruit_unknowns.jpg,grape__fruit,ood,grape_fruit_unknowns,https://bugwoodcloud.org/images/768x512/5459204.jpg,https://www.invasive.org/browse/detail.cfm?imgnum=5459204,Bugwood/Invasive.org source page; review exact page license before publication; Bugwood/Invasive.org,08eb087386a7052186e9fdcbf6239aee416438073c972dbe79ec4c5db4a72ac2,Grape black-rot or rotted fruit candidate from Bugwood; unsupported fruit disease held out for OOD.,768,579,bugwood
data\internet_image_candidates\20260520_targeted_quality_ood_oe_candidates\grape__fruit\ood\grape_fruit_unknowns\bugwood_5459205_grape_fruit_unknowns.jpg,grape__fruit,ood,grape_fruit_unknowns,https://bugwoodcloud.org/images/768x512/5459205.jpg,https://www.invasive.org/browse/detail.cfm?imgnum=5459205,Bugwood/Invasive.org source page; review exact page license before publication; Bugwood/Invasive.org,98ce8ab594b46cd2b3480c9d91996a8327524ef6243816c5e34ca88310186641,Grape black-rot or rotted fruit candidate from Bugwood; unsupported fruit disease held out for OOD.,768,579,bugwood
