local_path,adapter_key,intended_split,slice_name,source_url,source_page,license/source_name,sha256,short_reason,width,height,source_kind
data\internet_image_candidates\20260520_targeted_quality_ood_oe_candidates_v2\grape__leaf\oe\unsupported_same_crop\plantdoc_000gb.jpg,grape__leaf,oe,unsupported_same_crop,https://raw.githubusercontent.com/pratikkayal/PlantDoc-Dataset/master/train/grape%20leaf%20black%20rot/000gb.jpg,https://github.com/pratikkayal/PlantDoc-Dataset,PlantDoc-Dataset GitHub; review repository license before publication; PlantDoc-Dataset GitHub,b6962f0732420dd19f4acf4a613cb6668776730e753bd00b2b60d0c04fe4534a,PlantDoc grape leaf black-rot auxiliary negative; separate OE pool.,3264,2448,plantdoc
data\internet_image_candidates\20260520_targeted_quality_ood_oe_candidates_v2\grape__leaf\oe\unsupported_same_crop\plantdoc_0gb.jpg,grape__leaf,oe,unsupported_same_crop,https://raw.githubusercontent.com/pratikkayal/PlantDoc-Dataset/master/train/grape%20leaf%20black%20rot/0gb.jpg,https://github.com/pratikkayal/PlantDoc-Dataset,PlantDoc-Dataset GitHub; review repository license before publication; PlantDoc-Dataset GitHub,bc89d3677df86bc9b6d631fb4a31269952dba2ba1e3e9ee8fb9e23510683a008,PlantDoc grape leaf black-rot auxiliary negative; separate OE pool.,300,300,plantdoc
data\internet_image_candidates\20260520_targeted_quality_ood_oe_candidates_v2\grape__leaf\oe\unsupported_same_crop\plantdoc_35327886795_6f608e0eaa_b.jpg,grape__leaf,oe,unsupported_same_crop,https://raw.githubusercontent.com/pratikkayal/PlantDoc-Dataset/master/train/grape%20leaf%20black%20rot/35327886795_6f608e0eaa_b.jpg,https://github.com/pratikkayal/PlantDoc-Dataset,PlantDoc-Dataset GitHub; review repository license before publication; PlantDoc-Dataset GitHub,8fd56ddf6da9889a64e3798d0669d7183bdac32e0c26484fd0da61c6f12a60a2,PlantDoc grape leaf black-rot auxiliary negative; separate OE pool.,768,1024,plantdoc
data\internet_image_candidates\20260520_targeted_quality_ood_oe_candidates_v2\grape__leaf\oe\unsupported_same_crop\plantdoc_80111791.jpg,grape__leaf,oe,unsupported_same_crop,https://raw.githubusercontent.com/pratikkayal/PlantDoc-Dataset/master/train/grape%20leaf%20black%20rot/80111791.jpg,https://github.com/pratikkayal/PlantDoc-Dataset,PlantDoc-Dataset GitHub; review repository license before publication; PlantDoc-Dataset GitHub,f3caff1188e275af3eee0bfc19b3811e38aad92e91174b3228657956b120c639,PlantDoc grape leaf black-rot auxiliary negative; separate OE pool.,700,482,plantdoc
data\internet_image_candidates\20260520_targeted_quality_ood_oe_candidates_v2\grape__leaf\oe\unsupported_same_crop\plantdoc_Black_Rot_of_Grapes1166.jpg,grape__leaf,oe,unsupported_same_crop,https://raw.githubusercontent.com/pratikkayal/PlantDoc-Dataset/master/train/grape%20leaf%20black%20rot/Black_Rot_of_Grapes1166.jpg,https://github.com/pratikkayal/PlantDoc-Dataset,PlantDoc-Dataset GitHub; review repository license before publication; PlantDoc-Dataset GitHub,8e3e91a7b0e53a6e3b006448797d48fc98f8ecf0c572fd29a16bac9deb401f02,PlantDoc grape leaf black-rot auxiliary negative; separate OE pool.,800,600,plantdoc
data\internet_image_candidates\20260520_targeted_quality_ood_oe_candidates_v2\grape__leaf\oe\unsupported_same_crop\plantdoc_Black_Rot_of_Grapes152.jpg,grape__leaf,oe,unsupported_same_crop,https://raw.githubusercontent.com/pratikkayal/PlantDoc-Dataset/master/train/grape%20leaf%20black%20rot/Black_Rot_of_Grapes152.jpg,https://github.com/pratikkayal/PlantDoc-Dataset,PlantDoc-Dataset GitHub; review repository license before publication; PlantDoc-Dataset GitHub,23fb3bc9b34a4961431b2d0aa49a9978f6c4a0a81b5c79666a53366ac841e818,PlantDoc grape leaf black-rot auxiliary negative; separate OE pool.,600,720,plantdoc
data\internet_image_candidates\20260520_targeted_quality_ood_oe_candidates_v2\grape__leaf\oe\unsupported_same_crop\plantdoc_Guignardia-vigne44.jpg,grape__leaf,oe,unsupported_same_crop,https://raw.githubusercontent.com/pratikkayal/PlantDoc-Dataset/master/train/grape%20leaf%20black%20rot/Guignardia-vigne44.jpg,https://github.com/pratikkayal/PlantDoc-Dataset,PlantDoc-Dataset GitHub; review repository license before publication; PlantDoc-Dataset GitHub,de167888ba50a2b35efb57b17bd429bb5584292e2c626f3b8b407b3b2b2f342c,PlantDoc grape leaf black-rot auxiliary negative; separate OE pool.,544,520,plantdoc
data\internet_image_candidates\20260520_targeted_quality_ood_oe_candidates_v2\grape__leaf\oe\unsupported_same_crop\plantdoc_apr-2016_bryan_black-rot-leaf.jpg,grape__leaf,oe,unsupported_same_crop,https://raw.githubusercontent.com/pratikkayal/PlantDoc-Dataset/master/train/grape%20leaf%20black%20rot/apr-2016_bryan_black-rot-leaf.jpg,https://github.com/pratikkayal/PlantDoc-Dataset,PlantDoc-Dataset GitHub; review repository license before publication; PlantDoc-Dataset GitHub,efde1da34dd537a5598872a1dd3a05a0d40402d7f8bf7715485e420dd6b3d42d,PlantDoc grape leaf black-rot auxiliary negative; separate OE pool.,977,538,plantdoc
data\internet_image_candidates\20260520_targeted_quality_ood_oe_candidates_v2\grape__leaf\oe\unsupported_same_crop\plantdoc_black-rot-leaves.jpg,grape__leaf,oe,unsupported_same_crop,https://raw.githubusercontent.com/pratikkayal/PlantDoc-Dataset/master/train/grape%20leaf%20black%20rot/black-rot-leaves.jpg,https://github.com/pratikkayal/PlantDoc-Dataset,PlantDoc-Dataset GitHub; review repository license before publication; PlantDoc-Dataset GitHub,592cf1346c9ca20884e06236f4d1f7a1f22ac3f22de0e01cfa58e8b342d2aa96,PlantDoc grape leaf black-rot auxiliary negative; separate OE pool.,500,321,plantdoc
data\internet_image_candidates\20260520_targeted_quality_ood_oe_candidates_v2\grape__leaf\oe\unsupported_same_crop\plantdoc_br-ocw-phom.jpg,grape__leaf,oe,unsupported_same_crop,https://raw.githubusercontent.com/pratikkayal/PlantDoc-Dataset/master/train/grape%20leaf%20black%20rot/br-ocw-phom.jpg,https://github.com/pratikkayal/PlantDoc-Dataset,PlantDoc-Dataset GitHub; review repository license before publication; PlantDoc-Dataset GitHub,87de4021cbbc24ad1d2fe14cda0dba3f4c9112a8ed40008d0c3da2fa9e8d8e52,PlantDoc grape leaf black-rot auxiliary negative; separate OE pool.,930,414,plantdoc
