image_id,expected_target,qc_status,qc_reason,replacement_action,source_path,final_path,sha256,width,height,contrast,expected_class,user_like_bucket,manual_review_note
demo_001,tomato__fruit,keep,,rebuilt_from_clean_pool,data\prepared_runtime_datasets\tomato__fruit\test\domates_antraknoz_meyve\Kaggle_test_anthracnose_18_png.rf.207289ef35095182cc6da2f98636f8df.jpg,docs/demo_assets/m2_full_image_set/images/demo_001_tomato_fruit.jpg,1d9ce787c8e0111f166d7e77d03509e454fe8e6fe727a97abb83095cf904f3b6,640,640,37.40,domates_antraknoz_meyve,clear,
demo_002,tomato__fruit,keep,,rebuilt_from_clean_pool,data\prepared_runtime_datasets\tomato__fruit\test\domates_antraknoz_meyve\Kaggle_train_anthracnose_10_zoom_2_png.rf.f80b2011ed96c63958f39b7c1358467a.jpg,docs/demo_assets/m2_full_image_set/images/demo_002_tomato_fruit.jpg,e9c756148573a4fe449cbe6d8112cded43d98643c30a1d6e62a38ede4a184243,640,640,39.49,domates_antraknoz_meyve,clear,
demo_003,tomato__fruit,keep,,rebuilt_from_clean_pool,data\prepared_runtime_datasets\tomato__fruit\test\domates_antraknoz_meyve\Kaggle_train_anthracnose_12-Copy_png.rf.d8e8dba62cee137482d1172513315a20.jpg,docs/demo_assets/m2_full_image_set/images/demo_003_tomato_fruit.jpg,c759139e1f1c8628e9cdf0c476c0342db3810d92c1d1679043c981791d963a28,640,640,61.99,domates_antraknoz_meyve,clear,
demo_004,tomato__fruit,keep,,rebuilt_from_clean_pool,data\prepared_runtime_datasets\tomato__fruit\test\domates_antraknoz_meyve\Kaggle_train_anthracnose_16_zoom_3_png.rf.8d5c2d6258a8360cbeebebadb1765baf.jpg,docs/demo_assets/m2_full_image_set/images/demo_004_tomato_fruit.jpg,f30653c9e60e4a17ef95765856801d9df71dd93f6d338b6373613d5563fe4804,640,640,47.32,domates_antraknoz_meyve,clear,
demo_005,tomato__leaf,keep,,rebuilt_from_clean_pool,data\prepared_runtime_datasets\tomato__leaf\test\domates_bacterial_spot_and_speck_yaprak\IMG_3643__02d.jpg,docs/demo_assets/m2_full_image_set/images/demo_005_tomato_leaf.jpg,415b5280e56e07ce8965c60da20400915e0d794bdde6264e96b5ee953ef3232c,4032,3024,38.76,domates_bacterial_spot_and_speck_yaprak,clear,
demo_006,tomato__leaf,keep,,rebuilt_from_clean_pool,data\prepared_runtime_datasets\tomato__leaf\test\domates_bacterial_spot_and_speck_yaprak\Kaggle_b-speck_jpg.rf.d717c6292e301d47136f6947a81c9f7e.jpg,docs/demo_assets/m2_full_image_set/images/demo_006_tomato_leaf.jpg,674ddb6aaca8e4e55414bd9826aadd896752262332d38bc73042b65154dc4d7d,640,640,54.86,domates_bacterial_spot_and_speck_yaprak,clear,
demo_007,tomato__leaf,keep,,rebuilt_from_clean_pool,data\prepared_runtime_datasets\tomato__leaf\test\domates_bacterial_spot_and_speck_yaprak\Kaggle_bac_spot_tomato_leaf_l_jpg.rf.83720325ced4455d2839833bf748fe97.jpg,docs/demo_assets/m2_full_image_set/images/demo_007_tomato_leaf.jpg,b796f167b3c5446ffafa2dd8fec89833a68d1b07c64d2d4d2e0f9ce3dbce8561,640,640,57.27,domates_bacterial_spot_and_speck_yaprak,clear,
demo_008,tomato__leaf,keep,,rebuilt_from_clean_pool,data\prepared_runtime_datasets\tomato__leaf\test\domates_bacterial_spot_and_speck_yaprak\Kaggle_Bacterial-leaf-spot-transplants1_jpg.rf.a40f1a1c52549e0421138b9e11ec5f49.jpg,docs/demo_assets/m2_full_image_set/images/demo_008_tomato_leaf.jpg,9d56b34e8238bce756c88984fd2786bb50a6cda4ff4f4f33032a72f7da3eacd9,640,640,52.05,domates_bacterial_spot_and_speck_yaprak,difficult,
demo_009,strawberry__fruit,keep,,rebuilt_from_clean_pool,data\prepared_runtime_datasets\strawberry__fruit\test\strawberry_anthracnose_fruit\anthracnose_fruit_rot105.jpg,docs/demo_assets/m2_full_image_set/images/demo_009_strawberry_fruit.jpg,88c91608942c115592dc7d20bcd1eebf4936d76ee56788463adf9799c43d30e4,419,419,56.01,strawberry_anthracnose_fruit,difficult,
demo_010,strawberry__fruit,keep,,rebuilt_from_clean_pool,data\prepared_runtime_datasets\strawberry__fruit\test\strawberry_anthracnose_fruit\anthracnose_fruit_rot_28.jpg,docs/demo_assets/m2_full_image_set/images/demo_010_strawberry_fruit.jpg,7c715b0037c88fbffb3625b782820d4eccb729a2aaff78b96f728614d2ca8d68,419,419,50.13,strawberry_anthracnose_fruit,borderline,
