image_id,source,expected_target,expected_behavior,notes,disease_class
demo_145,local_test_pool:data/prepared_runtime_datasets/apricot__fruit/test/kayısıda_çiçek_monilyası_meyve_40/Kaysıda Çiçek Monilyası 119.JPG,apricot__fruit,known supported disease class: kayısıda_çiçek_monilyası_meyve_40; disease answer or review expected,supported disease coverage for apricot__fruit; split=test,kayısıda_çiçek_monilyası_meyve_40
demo_146,local_test_pool:data/prepared_runtime_datasets/apricot__fruit/test/kayısıda_çiçek_monilyası_meyve_40/Kaysıda Çiçek Monilyası 161.JPG,apricot__fruit,known supported disease class: kayısıda_çiçek_monilyası_meyve_40; disease answer or review expected,supported disease coverage for apricot__fruit; split=test,kayısıda_çiçek_monilyası_meyve_40
demo_147,local_test_pool:data/prepared_runtime_datasets/apricot__fruit/test/kayısıda_çiçek_monilyası_meyve_40/Kaysıda Çiçek Monilyası 167.JPG,apricot__fruit,known supported disease class: kayısıda_çiçek_monilyası_meyve_40; disease answer or review expected,supported disease coverage for apricot__fruit; split=test,kayısıda_çiçek_monilyası_meyve_40
demo_148,local_test_pool:data/prepared_runtime_datasets/apricot__fruit/test/kayısıda_çiçek_monilyası_meyve_40/Kaysıda Çiçek Monilyası 172.JPG,apricot__fruit,known supported disease class: kayısıda_çiçek_monilyası_meyve_40; disease answer or review expected,supported disease coverage for apricot__fruit; split=test,kayısıda_çiçek_monilyası_meyve_40
demo_149,local_test_pool:data/prepared_runtime_datasets/apricot__fruit/test/kayısıda_çiçek_monilyası_meyve_40/Kaysıda Çiçek Monilyası 175.JPG,apricot__fruit,known supported disease class: kayısıda_çiçek_monilyası_meyve_40; disease answer or review expected,supported disease coverage for apricot__fruit; split=test,kayısıda_çiçek_monilyası_meyve_40
demo_150,local_test_pool:data/prepared_runtime_datasets/apricot__fruit/test/kayısıda_çiçek_monilyası_meyve_40/Kaysıda Çiçek Monilyası 182.JPG,apricot__fruit,known supported disease class: kayısıda_çiçek_monilyası_meyve_40; disease answer or review expected,supported disease coverage for apricot__fruit; split=test,kayısıda_çiçek_monilyası_meyve_40
demo_151,local_test_pool:data/prepared_runtime_datasets/apricot__fruit/test/kayısıda_çiçek_monilyası_meyve_40/Kaysıda Çiçek Monilyası 2.JPG,apricot__fruit,known supported disease class: kayısıda_çiçek_monilyası_meyve_40; disease answer or review expected,supported disease coverage for apricot__fruit; split=test,kayısıda_çiçek_monilyası_meyve_40
demo_152,local_test_pool:data/prepared_runtime_datasets/apricot__fruit/test/kayısıda_çiçek_monilyası_meyve_40/Kaysıda Çiçek Monilyası 87.JPG,apricot__fruit,known supported disease class: kayısıda_çiçek_monilyası_meyve_40; disease answer or review expected,supported disease coverage for apricot__fruit; split=test,kayısıda_çiçek_monilyası_meyve_40
demo_153,local_test_pool:data/prepared_runtime_datasets/apricot__fruit/val/kayısıda_çiçek_monilyası_meyve_40/Kaysıda Çiçek Monilyası 116.JPG,apricot__fruit,known supported disease class: kayısıda_çiçek_monilyası_meyve_40; disease answer or review expected,supported disease coverage for apricot__fruit; split=val,kayısıda_çiçek_monilyası_meyve_40
demo_154,local_test_pool:data/prepared_runtime_datasets/apricot__fruit/val/kayısıda_çiçek_monilyası_meyve_40/Kaysıda Çiçek Monilyası 163.JPG,apricot__fruit,known supported disease class: kayısıda_çiçek_monilyası_meyve_40; disease answer or review expected,supported disease coverage for apricot__fruit; split=val,kayısıda_çiçek_monilyası_meyve_40
demo_155,local_test_pool:data/prepared_runtime_datasets/apricot__fruit/test/kayısıda_şarka_virüsü_meyve_230/Şarka Virüsü 102.JPG,apricot__fruit,known supported disease class: kayısıda_şarka_virüsü_meyve_230; disease answer or review expected,supported disease coverage for apricot__fruit; split=test,kayısıda_şarka_virüsü_meyve_230
