image_id,source,expected_target,expected_crop,expected_part,expected_class,expected_behavior,ood_slice,origin_url,notes,provenance_notes,resolved_source_path,photo_url,taxon_name,query,photo_id,license_code,attribution,sha256,width,height,contrast,source_backend
ow_0001,staged_external:docs/demo_assets/open_world_router/images/ow_0001_unsupported_crop_unknown_crop.jpg,unknown_crop,unknown,unknown,,"open-world negative; abstain or review expected, no supported disease label",unsupported_crop,https://www.inaturalist.org/observations/6149873,unsupported apple crop; query=apple scab leaf; taxon=Malus domestica,"source=iNaturalist; photo_id=7708463; observation=https://www.inaturalist.org/observations/6149873; license=; attribution=(c) khanlab, all rights reserved",docs/demo_assets/open_world_router/images/ow_0001_unsupported_crop_unknown_crop.jpg,https://static.inaturalist.org/photos/7708463/large.jpeg,Malus domestica,apple scab leaf,7708463,,"(c) khanlab, all rights reserved",956487253b563cd4c9adf79bf4d65a9da950f6f0434eafdb6beb402ceddd2c34,768,1024,28.60,inaturalist
ow_0002,staged_external:docs/demo_assets/open_world_router/images/ow_0002_unsupported_crop_unknown_crop.jpg,unknown_crop,unknown,unknown,,"open-world negative; abstain or review expected, no supported disease label",unsupported_crop,https://www.inaturalist.org/observations/6149872,unsupported apple crop; query=apple scab leaf; taxon=Malus domestica,"source=iNaturalist; photo_id=7708462; observation=https://www.inaturalist.org/observations/6149872; license=; attribution=(c) khanlab, all rights reserved",docs/demo_assets/open_world_router/images/ow_0002_unsupported_crop_unknown_crop.jpg,https://static.inaturalist.org/photos/7708462/large.jpeg,Malus domestica,apple scab leaf,7708462,,"(c) khanlab, all rights reserved",9986762fee542e5095dea5c170ce77aca9a7ff7f9f10859291cc422f9ece8fca,1024,768,36.39,inaturalist
ow_0003,staged_external:docs/demo_assets/open_world_router/images/ow_0003_unsupported_crop_unknown_crop.jpg,unknown_crop,unknown,unknown,,"open-world negative; abstain or review expected, no supported disease label",unsupported_crop,https://www.inaturalist.org/observations/6149871,unsupported apple crop; query=apple scab leaf; taxon=Malus domestica,"source=iNaturalist; photo_id=7708461; observation=https://www.inaturalist.org/observations/6149871; license=; attribution=(c) khanlab, all rights reserved",docs/demo_assets/open_world_router/images/ow_0003_unsupported_crop_unknown_crop.jpg,https://static.inaturalist.org/photos/7708461/large.jpeg,Malus domestica,apple scab leaf,7708461,,"(c) khanlab, all rights reserved",8bae94bf7145dc6e029bc51689ed8058c1ca04b11b8631ac72194d0732007350,1024,768,20.53,inaturalist
ow_0004,staged_external:docs/demo_assets/open_world_router/images/ow_0004_unsupported_crop_unknown_crop.jpg,unknown_crop,unknown,unknown,,"open-world negative; abstain or review expected, no supported disease label",unsupported_crop,https://www.inaturalist.org/observations/6149870,unsupported apple crop; query=apple scab leaf; taxon=Malus domestica,"source=iNaturalist; photo_id=7708460; observation=https://www.inaturalist.org/observations/6149870; license=; attribution=(c) khanlab, all rights reserved",docs/demo_assets/open_world_router/images/ow_0004_unsupported_crop_unknown_crop.jpg,https://static.inaturalist.org/photos/7708460/large.jpeg,Malus domestica,apple scab leaf,7708460,,"(c) khanlab, all rights reserved",9212f62689427a98b49efdca457f08a3b58c4393daffbf3cc5c3b8f672e6f4ce,1024,768,52.39,inaturalist
ow_0005,staged_external:docs/demo_assets/open_world_router/images/ow_0005_unsupported_crop_unknown_crop.jpg,unknown_crop,unknown,unknown,,"open-world negative; abstain or review expected, no supported disease label",unsupported_crop,https://www.inaturalist.org/observations/96150561,unsupported apple crop; query=apple fruit disease; taxon=Malus domestica,"source=iNaturalist; photo_id=159697542; observation=https://www.inaturalist.org/observations/96150561; license=cc-by-nc; attribution=(c) nchilton, some rights reserved (CC BY-NC)",docs/demo_assets/open_world_router/images/ow_0005_unsupported_crop_unknown_crop.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/159697542/large.jpg,Malus domestica,apple fruit disease,159697542,cc-by-nc,"(c) nchilton, some rights reserved (CC BY-NC)",7e43a02ad4b09e5b849e733aa4253a4bad5ead73d7d6ce7b8a4028af6688db00,1024,768,51.80,inaturalist
ow_0006,staged_external:docs/demo_assets/open_world_router/images/ow_0006_unsupported_crop_unknown_crop.jpg,unknown_crop,unknown,unknown,,"open-world negative; abstain or review expected, no supported disease label",unsupported_crop,https://www.inaturalist.org/observations/208742855,unsupported apple crop; query=Malus domestica leaf; taxon=Malus domestica,"source=iNaturalist; photo_id=369356664; observation=https://www.inaturalist.org/observations/208742855; license=cc-by-nc; attribution=(c) Hunter Holeman, some rights reserved (CC BY-NC)",docs/demo_assets/open_world_router/images/ow_0006_unsupported_crop_unknown_crop.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/369356664/large.jpg,Malus domestica,Malus domestica leaf,369356664,cc-by-nc,"(c) Hunter Holeman, some rights reserved (CC BY-NC)",0eab0287dd2333de4a6cb1f136720b402d58266253acb32b1f8e92fe710916c7,768,1024,58.07,inaturalist
ow_0007,staged_external:docs/demo_assets/open_world_router/images/ow_0007_unsupported_crop_unknown_crop.jpg,unknown_crop,unknown,unknown,,"open-world negative; abstain or review expected, no supported disease label",unsupported_crop,https://www.inaturalist.org/observations/141093951,unsupported apple crop; query=Malus domestica leaf; taxon=Malus domestica,"source=iNaturalist; photo_id=241630935; observation=https://www.inaturalist.org/observations/141093951; license=cc-by-nc; attribution=(c) miyulientakada, some rights reserved (CC BY-NC)",docs/demo_assets/open_world_router/images/ow_0007_unsupported_crop_unknown_crop.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/241630935/large.jpg,Malus domestica,Malus domestica leaf,241630935,cc-by-nc,"(c) miyulientakada, some rights reserved (CC BY-NC)",a59ad31f9f5e46b9e54996894a22d6eb996437cab44eeb14390df69a948d7508,768,1024,40.16,inaturalist
ow_0008,staged_external:docs/demo_assets/open_world_router/images/ow_0008_unsupported_crop_unknown_crop.jpg,unknown_crop,unknown,unknown,,"open-world negative; abstain or review expected, no supported disease label",unsupported_crop,https://www.inaturalist.org/observations/96603885,unsupported apple crop; query=Malus domestica leaf; taxon=Malus domestica,"source=iNaturalist; photo_id=160510795; observation=https://www.inaturalist.org/observations/96603885; license=cc-by-nc; attribution=(c) alexander717, some rights reserved (CC BY-NC)",docs/demo_assets/open_world_router/images/ow_0008_unsupported_crop_unknown_crop.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/160510795/large.jpeg,Malus domestica,Malus domestica leaf,160510795,cc-by-nc,"(c) alexander717, some rights reserved (CC BY-NC)",67d501ffa7879141eba50bbbf1b2a2aa9b8211dc7ff056856403510c983b4a97,768,1024,53.66,inaturalist
ow_0009,staged_external:docs/demo_assets/open_world_router/images/ow_0009_unsupported_crop_unknown_crop.jpg,unknown_crop,unknown,unknown,,"open-world negative; abstain or review expected, no supported disease label",unsupported_crop,https://www.inaturalist.org/observations/33629590,unsupported apple crop; query=Malus domestica leaf; taxon=Malus domestica,"source=iNaturalist; photo_id=52837070; observation=https://www.inaturalist.org/observations/33629590; license=; attribution=(c) Lauren Reding, all rights reserved",docs/demo_assets/open_world_router/images/ow_0009_unsupported_crop_unknown_crop.jpg,https://static.inaturalist.org/photos/52837070/large.jpg,Malus domestica,Malus domestica leaf,52837070,,"(c) Lauren Reding, all rights reserved",6abc943976f17f13d30b9d2d0998d01e1cb843f3db8c03e28b7ef1c8e0e3f290,768,1024,61.33,inaturalist
ow_0010,staged_external:docs/demo_assets/open_world_router/images/ow_0010_unsupported_crop_unknown_crop.jpg,unknown_crop,unknown,unknown,,"open-world negative; abstain or review expected, no supported disease label",unsupported_crop,https://www.inaturalist.org/observations/124201161,unsupported pepper crop; query=Capsicum annuum leaf; taxon=Capsicum annuum,"source=iNaturalist; photo_id=210492615; observation=https://www.inaturalist.org/observations/124201161; license=; attribution=(c) Rochan Rivera, all rights reserved",docs/demo_assets/open_world_router/images/ow_0010_unsupported_crop_unknown_crop.jpg,https://static.inaturalist.org/photos/210492615/large.jpeg,Capsicum annuum,Capsicum annuum leaf,210492615,,"(c) Rochan Rivera, all rights reserved",a955dc0c21cee395d5fd25daef0ef4850424aeeb0729e2fab5ea490ce3c19ac4,768,1024,67.50,inaturalist
