image_id,source,resolved_image,expected_target,expected_crop,expected_part,expected_class,corrected_crop,corrected_part,corrected_class,prototype_target,prototype_class_label,predicted_crop,predicted_part,predicted_disease,prototype_similarity,prototype_margin,reconcile_reason,failure_bucket,pass_fail,review_decision,prototype_quality,adapter_training_quality,review_notes
demo_149,staged_external:docs/demo_assets/m2_full_image_set/images/demo_149_apricot_fruit.jpg,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_149_apricot_fruit.jpg,apricot__fruit,apricot,fruit,kayısıda_şarka_virüsü_meyve_230,apricot,fruit,kayısıda_şarka_virüsü_meyve_230,apricot__fruit,kayısıda_şeftali_karalekesi_meyve_232,apricot,fruit,kayısıda_yaprak_delen_çil_hastalığı_meyve_128,0.581935,0.03387766,prototype_overrode_untrusted_router_handoff,,fail,add_adapter_train,not_selected,hard_example_wrong_disease_answer,Crop/part reached adapter but disease answer was wrong; use for adapter hard-example review.
demo_321,staged_external:docs/demo_assets/m2_full_image_set/images/demo_321_strawberry_fruit.jpg,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_321_strawberry_fruit.jpg,strawberry__fruit,strawberry,fruit,strawberry_healthy_fruit,strawberry,fruit,strawberry_healthy_fruit,strawberry__fruit,strawberry_healthy_fruit,strawberry,fruit,strawberry_unripe_fruit,0.55348656,0.03422529,prototype_overrode_untrusted_router_handoff,,fail,add_adapter_train,not_selected,hard_example_wrong_disease_answer,Crop/part reached adapter but disease answer was wrong; use for adapter hard-example review.
demo_334,staged_external:docs/demo_assets/m2_full_image_set/images/demo_334_strawberry_fruit.jpg,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_334_strawberry_fruit.jpg,strawberry__fruit,strawberry,fruit,strawberry_healthy_fruit,strawberry,fruit,strawberry_healthy_fruit,strawberry__fruit,strawberry_healthy_fruit,strawberry,fruit,strawberry_unripe_fruit,0.56756648,0.030908,prototype_overrode_untrusted_router_handoff,,fail,add_adapter_train,not_selected,hard_example_wrong_disease_answer,Crop/part reached adapter but disease answer was wrong; use for adapter hard-example review.
demo_026,staged_external:docs/demo_assets/m2_full_image_set/images/demo_026_apricot_fruit.jpg,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_026_apricot_fruit.jpg,apricot__fruit,apricot,fruit,kayısıda_çiçek_monilyası_meyve_40,apricot,fruit,kayısıda_çiçek_monilyası_meyve_40,apricot__fruit,kayısıda_çiçek_monilyası_meyve_40,apricot,fruit,kayısı_sağlıklı_meyve_800,0.63925056,0.06793944,prototype_overrode_untrusted_router_handoff,,fail,add_adapter_train,not_selected,hard_example_wrong_disease_answer,Crop/part reached adapter but disease answer was wrong; use for adapter hard-example review.
demo_115,staged_external:docs/demo_assets/m2_full_image_set/images/demo_115_apricot_fruit.jpg,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_115_apricot_fruit.jpg,apricot__fruit,apricot,fruit,kayısıda_şarka_virüsü_meyve_230,apricot,fruit,kayısıda_şarka_virüsü_meyve_230,apricot__fruit,kayısıda_şeftali_karalekesi_meyve_232,apricot,fruit,kayısıda_şeftali_karalekesi_meyve_232,0.63108834,0.06607733,prototype_overrode_untrusted_router_handoff,,fail,add_adapter_train,not_selected,hard_example_wrong_disease_answer,Crop/part reached adapter but disease answer was wrong; use for adapter hard-example review.
demo_159,staged_external:docs/demo_assets/m2_full_image_set/images/demo_159_apricot_fruit.jpg,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_159_apricot_fruit.jpg,apricot__fruit,apricot,fruit,kayısıda_şeftali_karalekesi_meyve_232,apricot,fruit,kayısıda_şeftali_karalekesi_meyve_232,apricot__fruit,kayısıda_yaprak_delen_çil_hastalığı_meyve_128,apricot,fruit,kayısıda_yaprak_delen_çil_hastalığı_meyve_128,0.65369047,0.0997002,prototype_overrode_untrusted_router_handoff,,fail,add_adapter_train,not_selected,hard_example_wrong_disease_answer,Crop/part reached adapter but disease answer was wrong; use for adapter hard-example review.
demo_161,staged_external:docs/demo_assets/m2_full_image_set/images/demo_161_apricot_fruit.jpg,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_161_apricot_fruit.jpg,apricot__fruit,apricot,fruit,kayısıda_yaprak_delen_çil_hastalığı_meyve_128,apricot,fruit,kayısıda_yaprak_delen_çil_hastalığı_meyve_128,apricot__fruit,kayısıda_şeftali_karalekesi_meyve_232,apricot,fruit,kayısıda_şeftali_karalekesi_meyve_232,0.62434332,0.05945178,prototype_overrode_untrusted_router_handoff,,fail,add_adapter_train,not_selected,hard_example_wrong_disease_answer,Crop/part reached adapter but disease answer was wrong; use for adapter hard-example review.
demo_164,staged_external:docs/demo_assets/m2_full_image_set/images/demo_164_apricot_fruit.jpg,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_164_apricot_fruit.jpg,apricot__fruit,apricot,fruit,kayısıda_yaprak_delen_çil_hastalığı_meyve_128,apricot,fruit,kayısıda_yaprak_delen_çil_hastalığı_meyve_128,apricot__fruit,kayısıda_şeftali_karalekesi_meyve_232,apricot,fruit,kayısıda_şeftali_karalekesi_meyve_232,0.64661364,0.08730866,prototype_overrode_untrusted_router_handoff,,fail,add_adapter_train,not_selected,hard_example_wrong_disease_answer,Crop/part reached adapter but disease answer was wrong; use for adapter hard-example review.
demo_170,staged_external:docs/demo_assets/m2_full_image_set/images/demo_170_apricot_fruit.jpg,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_170_apricot_fruit.jpg,apricot__fruit,apricot,fruit,kayısıda_yaprak_delen_çil_hastalığı_meyve_128,apricot,fruit,kayısıda_yaprak_delen_çil_hastalığı_meyve_128,apricot__fruit,kayısıda_yaprak_delen_çil_hastalığı_meyve_128,apricot,fruit,kayısıda_şeftali_karalekesi_meyve_232,0.63972273,0.07129677,prototype_overrode_untrusted_router_handoff,,fail,add_adapter_train,not_selected,hard_example_wrong_disease_answer,Crop/part reached adapter but disease answer was wrong; use for adapter hard-example review.
demo_178,staged_external:docs/demo_assets/m2_full_image_set/images/demo_178_apricot_fruit.jpg,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_178_apricot_fruit.jpg,apricot__fruit,apricot,fruit,kayısıda_şeftali_karalekesi_meyve_232,apricot,fruit,kayısıda_şeftali_karalekesi_meyve_232,apricot__fruit,kayısıda_yaprak_delen_çil_hastalığı_meyve_128,apricot,fruit,kayısıda_yaprak_delen_çil_hastalığı_meyve_128,0.63534585,0.06360979,prototype_overrode_untrusted_router_handoff,,fail,add_adapter_train,not_selected,hard_example_wrong_disease_answer,Crop/part reached adapter but disease answer was wrong; use for adapter hard-example review.
demo_333,staged_external:docs/demo_assets/m2_full_image_set/images/demo_333_strawberry_fruit.jpg,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_333_strawberry_fruit.jpg,strawberry__fruit,strawberry,fruit,strawberry_healthy_fruit,strawberry,fruit,strawberry_healthy_fruit,strawberry__fruit,strawberry_healthy_fruit,strawberry,fruit,strawberry_unripe_fruit,0.59959411,0.05863471,prototype_overrode_untrusted_router_handoff,,fail,add_adapter_train,not_selected,hard_example_wrong_disease_answer,Crop/part reached adapter but disease answer was wrong; use for adapter hard-example review.
demo_390,staged_external:docs/demo_assets/m2_full_image_set/images/demo_390_tomato_fruit.jpg,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_390_tomato_fruit.jpg,tomato__fruit,tomato,fruit,domates_late_blight_meyve,tomato,fruit,domates_late_blight_meyve,tomato__fruit,domates_late_blight_meyve,tomato,fruit,domates_spotted_wilt_meyve,0.67530115,0.09610133,prototype_overrode_untrusted_router_handoff,,fail,add_adapter_train,not_selected,hard_example_wrong_disease_answer,Crop/part reached adapter but disease answer was wrong; use for adapter hard-example review.
demo_407,staged_external:docs/demo_assets/m2_full_image_set/images/demo_407_tomato_fruit.jpg,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_407_tomato_fruit.jpg,tomato__fruit,tomato,fruit,domates_spotted_wilt_meyve,tomato,fruit,domates_spotted_wilt_meyve,tomato__fruit,domates_late_blight_meyve,tomato,fruit,domates_antraknoz_meyve,0.68527099,0.09295073,prototype_overrode_untrusted_router_handoff,,fail,add_adapter_train,not_selected,hard_example_wrong_disease_answer,Crop/part reached adapter but disease answer was wrong; use for adapter hard-example review.
demo_410,staged_external:docs/demo_assets/m2_full_image_set/images/demo_410_tomato_fruit.jpg,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_410_tomato_fruit.jpg,tomato__fruit,tomato,fruit,domates_blossom_end_rot_meyve,tomato,fruit,domates_blossom_end_rot_meyve,tomato__fruit,domates_antraknoz_meyve,tomato,fruit,domates_sag_lıklı_meyve,0.60427024,0.04225159,prototype_overrode_untrusted_router_handoff,,fail,add_adapter_train,not_selected,hard_example_wrong_disease_answer,Crop/part reached adapter but disease answer was wrong; use for adapter hard-example review.
demo_005,staged_external:docs/demo_assets/m2_full_image_set/images/demo_005_tomato_leaf.jpg,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_005_tomato_leaf.jpg,tomato__leaf,tomato,leaf,domates_bacterial_spot_and_speck_yaprak,tomato,leaf,domates_bacterial_spot_and_speck_yaprak,tomato__leaf,domates_bacterial_spot_and_speck_yaprak,tomato,leaf,domates_late_blight_yaprak,0.65863658,0.0865969,prototype_overrode_untrusted_router_handoff,,fail,add_adapter_train,not_selected,hard_example_wrong_disease_answer,Crop/part reached adapter but disease answer was wrong; use for adapter hard-example review.
demo_008,staged_external:docs/demo_assets/m2_full_image_set/images/demo_008_tomato_leaf.jpg,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_008_tomato_leaf.jpg,tomato__leaf,tomato,leaf,domates_bacterial_spot_and_speck_yaprak,tomato,leaf,domates_bacterial_spot_and_speck_yaprak,tomato__leaf,domates_septoria_leaf_spot_yaprak,tomato,leaf,domates_septoria_leaf_spot_yaprak,0.64711961,0.08252382,prototype_overrode_untrusted_router_handoff,,fail,add_adapter_train,not_selected,hard_example_wrong_disease_answer,Crop/part reached adapter but disease answer was wrong; use for adapter hard-example review.
demo_040,staged_external:docs/demo_assets/m2_full_image_set/images/demo_040_tomato_leaf.jpg,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_040_tomato_leaf.jpg,tomato__leaf,tomato,leaf,domates_bacterial_spot_and_speck_yaprak,tomato,leaf,domates_bacterial_spot_and_speck_yaprak,tomato__leaf,domates_septoria_leaf_spot_yaprak,tomato,leaf,domates_septoria_leaf_spot_yaprak,0.63391804,0.06085694,prototype_overrode_untrusted_router_handoff,,fail,add_adapter_train,not_selected,hard_example_wrong_disease_answer,Crop/part reached adapter but disease answer was wrong; use for adapter hard-example review.
