image_id,source,resolved_image,expected_target,expected_crop,expected_part,expected_class,corrected_crop,corrected_part,corrected_class,prototype_target,prototype_class_label,predicted_crop,predicted_part,predicted_disease,prototype_similarity,prototype_margin,reconcile_reason,failure_bucket,pass_fail,review_decision,prototype_quality,adapter_training_quality,review_notes
demo_146,staged_external:docs/demo_assets/m2_full_image_set/images/demo_146_apricot_fruit.jpg,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_146_apricot_fruit.jpg,apricot__fruit,apricot,fruit,kayısıda_şarka_virüsü_meyve_230,apricot,fruit,kayısıda_şarka_virüsü_meyve_230,apricot__fruit,kayısıda_yaprak_delen_çil_hastalığı_meyve_128,plum,unknown,,0.59085927,0.02075873,prototype_evidence_weak,router,fail,exclude_ambiguous,prototype_class_mismatch_or_unclear,not_selected,Target looked plausible but prototype class did not cleanly match expected class; exclude from positive manifests.
demo_174,staged_external:docs/demo_assets/m2_full_image_set/images/demo_174_apricot_fruit.jpg,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_174_apricot_fruit.jpg,apricot__fruit,apricot,fruit,kayısıda_şeftali_karalekesi_meyve_232,apricot,fruit,kayısıda_şeftali_karalekesi_meyve_232,apricot__fruit,kayısıda_şarka_virüsü_meyve_230,,,,0.58730844,0.02728934,prototype_evidence_weak,router,fail,exclude_ambiguous,prototype_class_mismatch_or_unclear,not_selected,Target looked plausible but prototype class did not cleanly match expected class; exclude from positive manifests.
demo_308,staged_external:docs/demo_assets/m2_full_image_set/images/demo_308_strawberry_fruit.jpg,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_308_strawberry_fruit.jpg,strawberry__fruit,strawberry,fruit,strawberry_powdery_mildew_fruit,strawberry,fruit,strawberry_powdery_mildew_fruit,strawberry__fruit,strawberry_gray_mold_fruit,honeydew,unknown,,0.54472951,0.00502304,prototype_evidence_weak,router,fail,exclude_ambiguous,prototype_class_mismatch_or_unclear,not_selected,Target looked plausible but prototype class did not cleanly match expected class; exclude from positive manifests.
demo_311,staged_external:docs/demo_assets/m2_full_image_set/images/demo_311_strawberry_fruit.jpg,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_311_strawberry_fruit.jpg,strawberry__fruit,strawberry,fruit,strawberry_powdery_mildew_fruit,strawberry,fruit,strawberry_powdery_mildew_fruit,strawberry__fruit,strawberry_healthy_fruit,pear,unknown,,0.57378748,0.01612735,prototype_evidence_weak,router,fail,exclude_ambiguous,prototype_class_mismatch_or_unclear,not_selected,Target looked plausible but prototype class did not cleanly match expected class; exclude from positive manifests.
demo_056,staged_external:docs/demo_assets/m2_full_image_set/images/demo_056_tomato_fruit.jpg,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_056_tomato_fruit.jpg,tomato__fruit,tomato,fruit,domates_bacterial_spot_and_speck_meyve,tomato,fruit,domates_bacterial_spot_and_speck_meyve,tomato__fruit,domates_late_blight_meyve,eggplant,unknown,,0.5913904,0.02150488,prototype_evidence_weak,router,fail,exclude_ambiguous,prototype_class_mismatch_or_unclear,not_selected,Target looked plausible but prototype class did not cleanly match expected class; exclude from positive manifests.
demo_057,staged_external:docs/demo_assets/m2_full_image_set/images/demo_057_tomato_fruit.jpg,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_057_tomato_fruit.jpg,tomato__fruit,tomato,fruit,domates_bacterial_spot_and_speck_meyve,tomato,fruit,domates_bacterial_spot_and_speck_meyve,tomato__fruit,domates_late_blight_meyve,eggplant,unknown,,0.64097722,0.02308061,prototype_evidence_weak,router,fail,exclude_ambiguous,prototype_class_mismatch_or_unclear,not_selected,Target looked plausible but prototype class did not cleanly match expected class; exclude from positive manifests.
demo_396,staged_external:docs/demo_assets/m2_full_image_set/images/demo_396_tomato_fruit.jpg,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_396_tomato_fruit.jpg,tomato__fruit,tomato,fruit,domates_late_blight_meyve,tomato,fruit,domates_late_blight_meyve,tomato__fruit,domates_blossom_end_rot_meyve,eggplant,unknown,,0.61908274,0.02976032,prototype_evidence_weak,router,fail,exclude_ambiguous,prototype_class_mismatch_or_unclear,not_selected,Target looked plausible but prototype class did not cleanly match expected class; exclude from positive manifests.
demo_007,staged_external:docs/demo_assets/m2_full_image_set/images/demo_007_tomato_leaf.jpg,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_007_tomato_leaf.jpg,tomato__leaf,tomato,leaf,domates_bacterial_spot_and_speck_yaprak,tomato,leaf,domates_bacterial_spot_and_speck_yaprak,tomato__leaf,domates_late_blight_yaprak,potato,unknown,,0.61539983,0.01894491,prototype_evidence_weak,router,fail,exclude_ambiguous,prototype_class_mismatch_or_unclear,not_selected,Target looked plausible but prototype class did not cleanly match expected class; exclude from positive manifests.
demo_064,staged_external:docs/demo_assets/m2_full_image_set/images/demo_064_tomato_leaf.jpg,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_064_tomato_leaf.jpg,tomato__leaf,tomato,leaf,domates_early_blight_yaprak,tomato,leaf,domates_early_blight_yaprak,tomato__leaf,domates_leaf_mold_yaprak,tomato,leaf,,0.64085653,0.0066677,prototype_evidence_weak,router,fail,exclude_ambiguous,prototype_class_mismatch_or_unclear,not_selected,Target looked plausible but prototype class did not cleanly match expected class; exclude from positive manifests.
demo_065,staged_external:docs/demo_assets/m2_full_image_set/images/demo_065_tomato_leaf.png,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_065_tomato_leaf.png,tomato__leaf,tomato,leaf,domates_early_blight_yaprak,tomato,leaf,domates_early_blight_yaprak,tomato__leaf,domates_bacterial_spot_and_speck_yaprak,guava,unknown,,0.55259795,0.0137427,prototype_evidence_weak,router,fail,exclude_ambiguous,prototype_class_mismatch_or_unclear,not_selected,Target looked plausible but prototype class did not cleanly match expected class; exclude from positive manifests.
demo_430,staged_external:docs/demo_assets/m2_full_image_set/images/demo_430_tomato_leaf.png,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_430_tomato_leaf.png,tomato__leaf,tomato,leaf,domates_late_blight_yaprak,tomato,leaf,domates_late_blight_yaprak,tomato__leaf,domates_bacterial_spot_and_speck_yaprak,tomato,unknown,,0.6077085,0.02359123,prototype_evidence_weak,router,fail,exclude_ambiguous,prototype_class_mismatch_or_unclear,not_selected,Target looked plausible but prototype class did not cleanly match expected class; exclude from positive manifests.
