image_id,source,resolved_image,expected_target,expected_crop,expected_part,expected_class,corrected_crop,corrected_part,corrected_class,prototype_target,prototype_class_label,predicted_crop,predicted_part,predicted_disease,prototype_similarity,prototype_margin,reconcile_reason,failure_bucket,pass_fail,review_decision,prototype_quality,adapter_training_quality,review_notes
demo_058,staged_external:docs/demo_assets/m2_full_image_set/images/demo_058_tomato_fruit.jpg,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_058_tomato_fruit.jpg,tomato__fruit,tomato,fruit,domates_bacterial_spot_and_speck_meyve,tomato,fruit,domates_bacterial_spot_and_speck_meyve,apricot__fruit,kayısıda_yaprak_delen_çil_hastalığı_meyve_128,plum,unknown,,0.60397603,0.01854494,prototype_evidence_weak,router,fail,add_prototype_hard_negative,wrong_target_close_match,not_selected,"Prototype/router evidence was close to wrong target; use as hard negative, not positive."
demo_366,staged_external:docs/demo_assets/m2_full_image_set/images/demo_366_tomato_fruit.jpg,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_366_tomato_fruit.jpg,tomato__fruit,tomato,fruit,domates_bacterial_spot_and_speck_meyve,tomato,fruit,domates_bacterial_spot_and_speck_meyve,apricot__fruit,kayısıda_şarka_virüsü_meyve_230,banana,unknown,,0.56594727,0.0041117,prototype_evidence_weak,router,fail,add_prototype_hard_negative,wrong_target_close_match,not_selected,"Prototype/router evidence was close to wrong target; use as hard negative, not positive."
demo_395,staged_external:docs/demo_assets/m2_full_image_set/images/demo_395_tomato_fruit.jpg,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_395_tomato_fruit.jpg,tomato__fruit,tomato,fruit,domates_late_blight_meyve,tomato,fruit,domates_late_blight_meyve,apricot__fruit,kayısıda_şarka_virüsü_meyve_230,honeydew,unknown,,0.61184777,0.0173674,prototype_evidence_weak,router,fail,add_prototype_hard_negative,wrong_target_close_match,not_selected,"Prototype/router evidence was close to wrong target; use as hard negative, not positive."
demo_398,staged_external:docs/demo_assets/m2_full_image_set/images/demo_398_tomato_fruit.jpg,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_398_tomato_fruit.jpg,tomato__fruit,tomato,fruit,domates_late_blight_meyve,tomato,fruit,domates_late_blight_meyve,apricot__fruit,kayısıda_şarka_virüsü_meyve_230,avocado,unknown,,0.55285482,0.00547399,prototype_evidence_weak,router,fail,add_prototype_hard_negative,wrong_target_close_match,not_selected,"Prototype/router evidence was close to wrong target; use as hard negative, not positive."
demo_399,staged_external:docs/demo_assets/m2_full_image_set/images/demo_399_tomato_fruit.jpg,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_399_tomato_fruit.jpg,tomato__fruit,tomato,fruit,domates_late_blight_meyve,tomato,fruit,domates_late_blight_meyve,apricot__fruit,kayısıda_şarka_virüsü_meyve_230,pepper,bud,,0.57306099,0.01076682,prototype_evidence_weak,router,fail,add_prototype_hard_negative,wrong_target_close_match,not_selected,"Prototype/router evidence was close to wrong target; use as hard negative, not positive."
demo_409,staged_external:docs/demo_assets/m2_full_image_set/images/demo_409_tomato_fruit.jpg,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_409_tomato_fruit.jpg,tomato__fruit,tomato,fruit,domates_spotted_wilt_meyve,tomato,fruit,domates_spotted_wilt_meyve,apricot__fruit,kayısıda_şarka_virüsü_meyve_230,plum,unknown,,0.63566112,0.02015782,prototype_evidence_weak,router,fail,add_prototype_hard_negative,wrong_target_close_match,not_selected,"Prototype/router evidence was close to wrong target; use as hard negative, not positive."
demo_509,staged_external:docs/demo_assets/m2_full_image_set/images/demo_509_tomato_leaf.jpg,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_509_tomato_leaf.jpg,tomato__leaf,tomato,leaf,domates_spotted_wilt_yaprak,tomato,leaf,domates_spotted_wilt_yaprak,tomato__fruit,domates_sağlıklı_meyve,tomato,leaf,,0.6091638,0.02420663,prototype_evidence_weak,router,fail,add_prototype_hard_negative,wrong_target_close_match,not_selected,"Prototype/router evidence was close to wrong target; use as hard negative, not positive."
demo_307,staged_external:docs/demo_assets/m2_full_image_set/images/demo_307_strawberry_fruit.jpg,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_307_strawberry_fruit.jpg,strawberry__fruit,strawberry,fruit,strawberry_gray_mold_fruit,strawberry,fruit,strawberry_gray_mold_fruit,strawberry__fruit,strawberry_gray_mold_fruit,strawberry,leaf,,0.59183231,0.0385533,part_conflict,router,fail,add_prototype_hard_negative,part_or_negative_boundary,not_selected,Boundary/conflict row; use as hard negative to preserve safety.
demo_067,staged_external:docs/demo_assets/m2_full_image_set/images/demo_067_tomato_leaf.png,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_067_tomato_leaf.png,tomato__leaf,tomato,leaf,domates_early_blight_yaprak,tomato,leaf,domates_early_blight_yaprak,tomato__leaf,domates_bacterial_spot_and_speck_yaprak,sugar beet,unknown,,0.57650724,0.03161684,negative_prototype_too_close,router,fail,add_prototype_hard_negative,part_or_negative_boundary,not_selected,Boundary/conflict row; use as hard negative to preserve safety.
demo_129,staged_external:docs/demo_assets/m2_full_image_set/images/demo_129_tomato_leaf.png,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_129_tomato_leaf.png,tomato__leaf,tomato,leaf,domates_early_blight_yaprak,tomato,leaf,domates_early_blight_yaprak,tomato__leaf,domates_septoria_leaf_spot_yaprak,tomato,fruit,,0.62868755,0.03095128,negative_prototype_too_close,router,fail,add_prototype_hard_negative,part_or_negative_boundary,not_selected,Boundary/conflict row; use as hard negative to preserve safety.
demo_425,staged_external:docs/demo_assets/m2_full_image_set/images/demo_425_tomato_leaf.png,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_425_tomato_leaf.png,tomato__leaf,tomato,leaf,domates_early_blight_yaprak,tomato,leaf,domates_early_blight_yaprak,tomato__leaf,domates_bacterial_spot_and_speck_yaprak,sugar beet,unknown,,0.56082526,0.03262874,negative_prototype_too_close,router,fail,add_prototype_hard_negative,part_or_negative_boundary,not_selected,Boundary/conflict row; use as hard negative to preserve safety.
demo_162,staged_external:docs/demo_assets/m2_full_image_set/images/demo_162_apricot_fruit.jpg,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_162_apricot_fruit.jpg,apricot__fruit,apricot,fruit,kayısıda_yaprak_delen_çil_hastalığı_meyve_128,apricot,fruit,kayısıda_yaprak_delen_çil_hastalığı_meyve_128,apricot__leaf,kayısı_yaprak_delen_çil_hastalığı_yaprak_300,plum,unknown,,0.60184216,0.03879028,negative_prototype_too_close,router,fail,add_prototype_hard_negative,wrong_target_close_match,not_selected,"Prototype/router evidence was close to wrong target; use as hard negative, not positive."
demo_006,staged_external:docs/demo_assets/m2_full_image_set/images/demo_006_tomato_leaf.jpg,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_006_tomato_leaf.jpg,tomato__leaf,tomato,leaf,domates_bacterial_spot_and_speck_yaprak,tomato,leaf,domates_bacterial_spot_and_speck_yaprak,tomato__fruit,domates_late_blight_meyve,tomato,leaf,,0.6202943,0.01365378,negative_prototype_too_close,router,fail,add_prototype_hard_negative,wrong_target_close_match,not_selected,"Prototype/router evidence was close to wrong target; use as hard negative, not positive."
