image_id,source,resolved_image,expected_target,expected_crop,expected_part,expected_class,corrected_crop,corrected_part,corrected_class,prototype_target,prototype_class_label,predicted_crop,predicted_part,predicted_disease,prototype_similarity,prototype_margin,reconcile_reason,failure_bucket,pass_fail,review_decision,prototype_quality,adapter_training_quality,review_notes
demo_029,staged_external:docs/demo_assets/m2_full_image_set/images/demo_029_apricot_leaf.jpg,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_029_apricot_leaf.jpg,apricot__leaf,apricot,leaf,kayısı_şarka_virüsü_yaprak_206,apricot,leaf,kayısı_şarka_virüsü_yaprak_206,apricot__leaf,kayısı_şarka_virüsü_yaprak_206,plum,unknown,,0.55654597,0.02528754,prototype_evidence_weak,router,fail,exclude_ambiguous,reviewed_router_only,deferred_router_only,router-only conservative review: deferred as ambiguous or outside current priority slice
demo_030,staged_external:docs/demo_assets/m2_full_image_set/images/demo_030_apricot_leaf.jpg,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_030_apricot_leaf.jpg,apricot__leaf,apricot,leaf,kayısı_şarka_virüsü_yaprak_206,apricot,leaf,kayısı_şarka_virüsü_yaprak_206,apricot__leaf,kayısı_sağlıklı_yaprak_302,kiwi,unknown,,0.59953738,0.02364784,prototype_evidence_weak,router,fail,exclude_ambiguous,reviewed_router_only,deferred_router_only,router-only conservative review: deferred as ambiguous or outside current priority slice
demo_285,staged_external:docs/demo_assets/m2_full_image_set/images/demo_285_grape_leaf.jpg,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_285_grape_leaf.jpg,grape__leaf,grape,leaf,üzüm_yelpaze_virüsü_yaprak,grape,leaf,üzüm_yelpaze_virüsü_yaprak,grape__leaf,üzüm_yelpaze_virüsü_yaprak,celery,unknown,,0.53963989,0.00388052,prototype_evidence_weak,router,fail,exclude_ambiguous,reviewed_router_only,deferred_router_only,router-only conservative review: deferred as ambiguous or outside current priority slice
demo_058,staged_external:docs/demo_assets/m2_full_image_set/images/demo_058_tomato_fruit.jpg,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_058_tomato_fruit.jpg,tomato__fruit,tomato,fruit,domates_bacterial_spot_and_speck_meyve,tomato,fruit,domates_bacterial_spot_and_speck_meyve,apricot__fruit,kayısıda_yaprak_delen_çil_hastalığı_meyve_128,plum,unknown,,0.60397603,0.01854494,prototype_evidence_weak,router,fail,exclude_ambiguous,reviewed_router_only,deferred_router_only,router-only conservative review: deferred as ambiguous or outside current priority slice
demo_366,staged_external:docs/demo_assets/m2_full_image_set/images/demo_366_tomato_fruit.jpg,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_366_tomato_fruit.jpg,tomato__fruit,tomato,fruit,domates_bacterial_spot_and_speck_meyve,tomato,fruit,domates_bacterial_spot_and_speck_meyve,apricot__fruit,kayısıda_şarka_virüsü_meyve_230,banana,unknown,,0.56674009,0.00304749,prototype_evidence_weak,router,fail,exclude_ambiguous,reviewed_router_only,deferred_router_only,router-only conservative review: deferred as ambiguous or outside current priority slice
demo_395,staged_external:docs/demo_assets/m2_full_image_set/images/demo_395_tomato_fruit.jpg,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_395_tomato_fruit.jpg,tomato__fruit,tomato,fruit,domates_late_blight_meyve,tomato,fruit,domates_late_blight_meyve,apricot__fruit,kayısıda_şarka_virüsü_meyve_230,honeydew,unknown,,0.61271358,0.01688301,prototype_evidence_weak,router,fail,exclude_ambiguous,reviewed_router_only,deferred_router_only,router-only conservative review: deferred as ambiguous or outside current priority slice
demo_398,staged_external:docs/demo_assets/m2_full_image_set/images/demo_398_tomato_fruit.jpg,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_398_tomato_fruit.jpg,tomato__fruit,tomato,fruit,domates_late_blight_meyve,tomato,fruit,domates_late_blight_meyve,apricot__fruit,kayısıda_şarka_virüsü_meyve_230,avocado,unknown,,0.55384976,0.00646893,prototype_evidence_weak,router,fail,exclude_ambiguous,reviewed_router_only,deferred_router_only,router-only conservative review: deferred as ambiguous or outside current priority slice
demo_399,staged_external:docs/demo_assets/m2_full_image_set/images/demo_399_tomato_fruit.jpg,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_399_tomato_fruit.jpg,tomato__fruit,tomato,fruit,domates_late_blight_meyve,tomato,fruit,domates_late_blight_meyve,apricot__fruit,kayısıda_şarka_virüsü_meyve_230,pepper,bud,,0.5741284,0.01048251,prototype_evidence_weak,router,fail,exclude_ambiguous,reviewed_router_only,deferred_router_only,router-only conservative review: deferred as ambiguous or outside current priority slice
demo_409,staged_external:docs/demo_assets/m2_full_image_set/images/demo_409_tomato_fruit.jpg,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_409_tomato_fruit.jpg,tomato__fruit,tomato,fruit,domates_spotted_wilt_meyve,tomato,fruit,domates_spotted_wilt_meyve,apricot__fruit,kayısıda_şarka_virüsü_meyve_230,plum,unknown,,0.63603644,0.01855467,prototype_evidence_weak,router,fail,exclude_ambiguous,reviewed_router_only,deferred_router_only,router-only conservative review: deferred as ambiguous or outside current priority slice
demo_509,staged_external:docs/demo_assets/m2_full_image_set/images/demo_509_tomato_leaf.jpg,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_509_tomato_leaf.jpg,tomato__leaf,tomato,leaf,domates_spotted_wilt_yaprak,tomato,leaf,domates_spotted_wilt_yaprak,tomato__fruit,domates_sağlıklı_meyve,tomato,leaf,,0.6091638,0.02435874,prototype_evidence_weak,router,fail,exclude_ambiguous,reviewed_router_only,deferred_router_only,router-only conservative review: deferred as ambiguous or outside current priority slice
demo_149,staged_external:docs/demo_assets/m2_full_image_set/images/demo_149_apricot_fruit.jpg,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_149_apricot_fruit.jpg,apricot__fruit,apricot,fruit,kayısıda_şarka_virüsü_meyve_230,apricot,fruit,kayısıda_şarka_virüsü_meyve_230,apricot__fruit,kayısıda_şeftali_karalekesi_meyve_232,peach,unknown,,0.58195751,0.03263683,negative_prototype_too_close,router,fail,exclude_ambiguous,reviewed_router_only,deferred_router_only,router-only conservative review: deferred as ambiguous or outside current priority slice
demo_067,staged_external:docs/demo_assets/m2_full_image_set/images/demo_067_tomato_leaf.png,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_067_tomato_leaf.png,tomato__leaf,tomato,leaf,domates_early_blight_yaprak,tomato,leaf,domates_early_blight_yaprak,tomato__leaf,domates_bacterial_spot_and_speck_yaprak,sugar beet,unknown,,0.57650724,0.03161684,negative_prototype_too_close,router,fail,exclude_ambiguous,reviewed_router_only,deferred_router_only,router-only conservative review: deferred as ambiguous or outside current priority slice
demo_129,staged_external:docs/demo_assets/m2_full_image_set/images/demo_129_tomato_leaf.png,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_129_tomato_leaf.png,tomato__leaf,tomato,leaf,domates_early_blight_yaprak,tomato,leaf,domates_early_blight_yaprak,tomato__leaf,domates_septoria_leaf_spot_yaprak,tomato,fruit,,0.62868755,0.03095128,negative_prototype_too_close,router,fail,exclude_ambiguous,reviewed_router_only,deferred_router_only,router-only conservative review: deferred as ambiguous or outside current priority slice
