image_id,source,resolved_image,expected_target,expected_crop,expected_part,expected_class,corrected_crop,corrected_part,corrected_class,prototype_target,prototype_class_label,predicted_crop,predicted_part,predicted_disease,prototype_similarity,prototype_margin,reconcile_reason,failure_bucket,pass_fail,review_decision,prototype_quality,adapter_training_quality,review_notes
demo_145,staged_external:docs/demo_assets/m2_full_image_set/images/demo_145_apricot_fruit.jpg,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_145_apricot_fruit.jpg,apricot__fruit,apricot,fruit,kayısıda_şarka_virüsü_meyve_230,apricot,fruit,kayısıda_şarka_virüsü_meyve_230,apricot__fruit,kayısıda_şarka_virüsü_meyve_230,cucumber,fruit,,0.60837298,0.01398668,prototype_evidence_weak,router,fail,add_prototype_positive,same_target_positive,deferred_router_only,same-target router/prototype failure in priority target; add as curated positive for target/class coverage
demo_146,staged_external:docs/demo_assets/m2_full_image_set/images/demo_146_apricot_fruit.jpg,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_146_apricot_fruit.jpg,apricot__fruit,apricot,fruit,kayısıda_şarka_virüsü_meyve_230,apricot,fruit,kayısıda_şarka_virüsü_meyve_230,apricot__fruit,kayısıda_yaprak_delen_çil_hastalığı_meyve_128,plum,unknown,,0.59137359,0.02127305,prototype_evidence_weak,router,fail,add_prototype_positive,same_target_positive,deferred_router_only,same-target router/prototype failure in priority target; add as curated positive for target/class coverage
demo_174,staged_external:docs/demo_assets/m2_full_image_set/images/demo_174_apricot_fruit.jpg,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_174_apricot_fruit.jpg,apricot__fruit,apricot,fruit,kayısıda_şeftali_karalekesi_meyve_232,apricot,fruit,kayısıda_şeftali_karalekesi_meyve_232,apricot__fruit,kayısıda_şarka_virüsü_meyve_230,,,,0.58801107,0.02771904,prototype_evidence_weak,router,fail,add_prototype_positive,same_target_positive,deferred_router_only,same-target router/prototype failure in priority target; add as curated positive for target/class coverage
demo_305,staged_external:docs/demo_assets/m2_full_image_set/images/demo_305_strawberry_fruit.jpg,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_305_strawberry_fruit.jpg,strawberry__fruit,strawberry,fruit,strawberry_gray_mold_fruit,strawberry,fruit,strawberry_gray_mold_fruit,strawberry__fruit,strawberry_gray_mold_fruit,orange,unknown,,0.54476615,0.02734254,prototype_evidence_weak,router,fail,add_prototype_positive,same_target_positive,deferred_router_only,same-target router/prototype failure in priority target; add as curated positive for target/class coverage
demo_308,staged_external:docs/demo_assets/m2_full_image_set/images/demo_308_strawberry_fruit.jpg,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_308_strawberry_fruit.jpg,strawberry__fruit,strawberry,fruit,strawberry_powdery_mildew_fruit,strawberry,fruit,strawberry_powdery_mildew_fruit,strawberry__fruit,strawberry_gray_mold_fruit,honeydew,unknown,,0.54461635,0.00497287,prototype_evidence_weak,router,fail,add_prototype_positive,same_target_positive,deferred_router_only,same-target router/prototype failure in priority target; add as curated positive for target/class coverage
demo_311,staged_external:docs/demo_assets/m2_full_image_set/images/demo_311_strawberry_fruit.jpg,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_311_strawberry_fruit.jpg,strawberry__fruit,strawberry,fruit,strawberry_powdery_mildew_fruit,strawberry,fruit,strawberry_powdery_mildew_fruit,strawberry__fruit,strawberry_healthy_fruit,pear,unknown,,0.57296653,0.01508997,prototype_evidence_weak,router,fail,add_prototype_positive,same_target_positive,deferred_router_only,same-target router/prototype failure in priority target; add as curated positive for target/class coverage
demo_334,staged_external:docs/demo_assets/m2_full_image_set/images/demo_334_strawberry_fruit.jpg,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_334_strawberry_fruit.jpg,strawberry__fruit,strawberry,fruit,strawberry_healthy_fruit,strawberry,fruit,strawberry_healthy_fruit,strawberry__fruit,strawberry_healthy_fruit,cantaloupe,unknown,,0.56613016,0.0286719,prototype_evidence_weak,router,fail,add_prototype_positive,same_target_positive,deferred_router_only,same-target router/prototype failure in priority target; add as curated positive for target/class coverage
demo_056,staged_external:docs/demo_assets/m2_full_image_set/images/demo_056_tomato_fruit.jpg,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_056_tomato_fruit.jpg,tomato__fruit,tomato,fruit,domates_bacterial_spot_and_speck_meyve,tomato,fruit,domates_bacterial_spot_and_speck_meyve,tomato__fruit,domates_late_blight_meyve,eggplant,unknown,,0.5917392,0.02185368,prototype_evidence_weak,router,fail,add_prototype_positive,same_target_positive,deferred_router_only,same-target router/prototype failure in priority target; add as curated positive for target/class coverage
demo_057,staged_external:docs/demo_assets/m2_full_image_set/images/demo_057_tomato_fruit.jpg,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_057_tomato_fruit.jpg,tomato__fruit,tomato,fruit,domates_bacterial_spot_and_speck_meyve,tomato,fruit,domates_bacterial_spot_and_speck_meyve,tomato__fruit,domates_late_blight_meyve,eggplant,unknown,,0.64059393,0.02269732,prototype_evidence_weak,router,fail,add_prototype_positive,same_target_positive,deferred_router_only,same-target router/prototype failure in priority target; add as curated positive for target/class coverage
demo_373,staged_external:docs/demo_assets/m2_full_image_set/images/demo_373_tomato_fruit.jpg,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_373_tomato_fruit.jpg,tomato__fruit,tomato,fruit,domates_blossom_end_rot_meyve,tomato,fruit,domates_blossom_end_rot_meyve,tomato__fruit,domates_blossom_end_rot_meyve,eggplant,unknown,,0.60110575,0.02506501,prototype_evidence_weak,router,fail,add_prototype_positive,same_target_positive,deferred_router_only,same-target router/prototype failure in priority target; add as curated positive for target/class coverage
