image_id,source,resolved_image,expected_target,expected_crop,expected_part,expected_class,corrected_crop,corrected_part,corrected_class,prototype_target,prototype_class_label,predicted_crop,predicted_part,predicted_disease,prototype_similarity,prototype_margin,reconcile_reason,failure_bucket,pass_fail,review_decision,prototype_quality,adapter_training_quality,review_notes
demo_307,staged_external:docs/demo_assets/m2_full_image_set/images/demo_307_strawberry_fruit.jpg,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_307_strawberry_fruit.jpg,strawberry__fruit,strawberry,fruit,strawberry_gray_mold_fruit,strawberry,fruit,strawberry_gray_mold_fruit,strawberry__fruit,strawberry_gray_mold_fruit,strawberry,fruit,strawberry_anthracnose_fruit,0.59267873,0.03924654,prototype_overrode_calibrated_part_conflict,,fail,add_adapter_train,not_for_prototype,reviewed_adapter_hard_example,reviewed: clear strawberry gray mold/fuzzy rot hard example
demo_215,staged_external:docs/demo_assets/m2_full_image_set/images/demo_215_grape_fruit.jpg,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_215_grape_fruit.jpg,grape__fruit,grape,fruit,üzüm_külleme_meyve,grape,fruit,üzüm_külleme_meyve,grape__fruit,üzüm_külleme_meyve,grape,fruit,u_zu_m_mildiyo_meyve,0.5669322,0.02803462,prototype_overrode_untrusted_router_handoff,,fail,add_adapter_train,not_for_prototype,reviewed_adapter_hard_example,reviewed: grape powdery mildew fruit example is usable unless row-specific note excludes it
demo_217,staged_external:docs/demo_assets/m2_full_image_set/images/demo_217_grape_fruit.jpg,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_217_grape_fruit.jpg,grape__fruit,grape,fruit,üzüm_külleme_meyve,grape,fruit,üzüm_külleme_meyve,grape__fruit,üzüm_sağlıklı_meyve,grape,fruit,u_zu_m_mildiyo_meyve,0.65616663,0.03702048,prototype_overrode_calibrated_part_conflict,,fail,add_adapter_train,not_for_prototype,reviewed_adapter_hard_example,reviewed: grape powdery mildew fruit example is usable unless row-specific note excludes it
demo_008,staged_external:docs/demo_assets/m2_full_image_set/images/demo_008_tomato_leaf.jpg,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_008_tomato_leaf.jpg,tomato__leaf,tomato,leaf,domates_bacterial_spot_and_speck_yaprak,tomato,leaf,domates_bacterial_spot_and_speck_yaprak,tomato__leaf,domates_septoria_leaf_spot_yaprak,tomato,leaf,domates_septoria_leaf_spot_yaprak,0.6467042,0.08272657,prototype_overrode_untrusted_router_handoff,,fail,add_adapter_train,not_for_prototype,reviewed_adapter_hard_example,reviewed: tomato bacterial spot/speck symptoms are plausible hard examples
demo_040,staged_external:docs/demo_assets/m2_full_image_set/images/demo_040_tomato_leaf.jpg,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_040_tomato_leaf.jpg,tomato__leaf,tomato,leaf,domates_bacterial_spot_and_speck_yaprak,tomato,leaf,domates_bacterial_spot_and_speck_yaprak,tomato__leaf,domates_septoria_leaf_spot_yaprak,tomato,leaf,domates_septoria_leaf_spot_yaprak,0.63382366,0.06076256,prototype_overrode_untrusted_router_handoff,,fail,add_adapter_train,not_for_prototype,reviewed_adapter_hard_example,reviewed: tomato bacterial spot/speck symptoms are plausible hard examples
demo_059,staged_external:docs/demo_assets/m2_full_image_set/images/demo_059_tomato_leaf.jpg,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_059_tomato_leaf.jpg,tomato__leaf,tomato,leaf,domates_bacterial_spot_and_speck_yaprak,tomato,leaf,domates_bacterial_spot_and_speck_yaprak,tomato__leaf,domates_bacterial_spot_and_speck_yaprak,tomato,leaf,domates_septoria_leaf_spot_yaprak,0.62007719,0.06608217,prototype_overrode_untrusted_router_handoff,,fail,add_adapter_train,not_for_prototype,reviewed_adapter_hard_example,reviewed: tomato bacterial spot/speck symptoms are plausible hard examples
demo_159,staged_external:docs/demo_assets/m2_full_image_set/images/demo_159_apricot_fruit.jpg,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_159_apricot_fruit.jpg,apricot__fruit,apricot,fruit,kayısıda_şeftali_karalekesi_meyve_232,apricot,fruit,kayısıda_şeftali_karalekesi_meyve_232,apricot__fruit,kayısıda_yaprak_delen_çil_hastalığı_meyve_128,apricot,fruit,kayısıda_yaprak_delen_çil_hastalığı_meyve_128,0.65484886,0.10085859,prototype_overrode_untrusted_router_handoff,,fail,add_adapter_train,not_for_prototype,reviewed_adapter_hard_example,reviewed: apricot peach-scab/black-spot label is plausible hard example
demo_178,staged_external:docs/demo_assets/m2_full_image_set/images/demo_178_apricot_fruit.jpg,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_178_apricot_fruit.jpg,apricot__fruit,apricot,fruit,kayısıda_şeftali_karalekesi_meyve_232,apricot,fruit,kayısıda_şeftali_karalekesi_meyve_232,apricot__fruit,kayısıda_yaprak_delen_çil_hastalığı_meyve_128,apricot,fruit,kayısıda_yaprak_delen_çil_hastalığı_meyve_128,0.6357984,0.06396664,prototype_overrode_untrusted_router_handoff,,fail,add_adapter_train,not_for_prototype,reviewed_adapter_hard_example,reviewed: apricot peach-scab/black-spot label is plausible hard example
demo_149,staged_external:docs/demo_assets/m2_full_image_set/images/demo_149_apricot_fruit.jpg,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_149_apricot_fruit.jpg,apricot__fruit,apricot,fruit,kayısıda_şarka_virüsü_meyve_230,apricot,fruit,kayısıda_şarka_virüsü_meyve_230,apricot__fruit,kayısıda_şeftali_karalekesi_meyve_232,apricot,fruit,kayısıda_yaprak_delen_çil_hastalığı_meyve_128,0.58175204,0.03243136,prototype_overrode_untrusted_router_handoff,,fail,add_adapter_train,not_for_prototype,reviewed_adapter_hard_example,reviewed: apricot sharka-like mottled fruit symptoms are plausible
demo_256,staged_external:docs/demo_assets/m2_full_image_set/images/demo_256_grape_leaf.jpg,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_256_grape_leaf.jpg,grape__leaf,grape,leaf,üzüm_külleme_yaprak,grape,leaf,üzüm_külleme_yaprak,grape__leaf,üzüm_külleme_yaprak,grape,leaf,üzüm_mildiyö_yaprak,0.57240304,0.03301811,prototype_overrode_untrusted_router_handoff,,fail,add_adapter_train,not_for_prototype,reviewed_adapter_hard_example,reviewed: close clear grape leaf powdery mildew hard example
