image_id,source,resolved_image,expected_target,expected_crop,expected_part,expected_class,corrected_crop,corrected_part,corrected_class,prototype_target,prototype_class_label,predicted_crop,predicted_part,predicted_disease,prototype_similarity,prototype_margin,reconcile_reason,failure_bucket,pass_fail,review_decision,prototype_quality,adapter_training_quality,review_notes
demo_029,staged_external:docs/demo_assets/m2_full_image_set/images/demo_029_apricot_leaf.jpg,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_029_apricot_leaf.jpg,apricot__leaf,apricot,leaf,kayısı_şarka_virüsü_yaprak_206,apricot,leaf,kayısı_şarka_virüsü_yaprak_206,apricot__leaf,kayısı_şarka_virüsü_yaprak_206,plum,unknown,,0.55654597,0.0253757,prototype_evidence_weak,router,fail,exclude_ambiguous,reviewed_router_only,deferred_router_only,router-only conservative review: deferred as ambiguous or outside current priority slice
demo_030,staged_external:docs/demo_assets/m2_full_image_set/images/demo_030_apricot_leaf.jpg,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_030_apricot_leaf.jpg,apricot__leaf,apricot,leaf,kayısı_şarka_virüsü_yaprak_206,apricot,leaf,kayısı_şarka_virüsü_yaprak_206,apricot__leaf,kayısı_sağlıklı_yaprak_302,kiwi,unknown,,0.59953738,0.02383192,prototype_evidence_weak,router,fail,exclude_ambiguous,reviewed_router_only,deferred_router_only,router-only conservative review: deferred as ambiguous or outside current priority slice
demo_285,staged_external:docs/demo_assets/m2_full_image_set/images/demo_285_grape_leaf.jpg,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_285_grape_leaf.jpg,grape__leaf,grape,leaf,üzüm_yelpaze_virüsü_yaprak,grape,leaf,üzüm_yelpaze_virüsü_yaprak,grape__leaf,üzüm_yelpaze_virüsü_yaprak,celery,unknown,,0.53963989,0.00388052,prototype_evidence_weak,router,fail,exclude_ambiguous,reviewed_router_only,deferred_router_only,router-only conservative review: deferred as ambiguous or outside current priority slice
demo_058,staged_external:docs/demo_assets/m2_full_image_set/images/demo_058_tomato_fruit.jpg,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_058_tomato_fruit.jpg,tomato__fruit,tomato,fruit,domates_bacterial_spot_and_speck_meyve,tomato,fruit,domates_bacterial_spot_and_speck_meyve,apricot__fruit,kayısıda_yaprak_delen_çil_hastalığı_meyve_128,plum,unknown,,0.60266421,0.01663002,prototype_evidence_weak,router,fail,exclude_ambiguous,reviewed_router_only,deferred_router_only,router-only conservative review: deferred as ambiguous or outside current priority slice
demo_366,staged_external:docs/demo_assets/m2_full_image_set/images/demo_366_tomato_fruit.jpg,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_366_tomato_fruit.jpg,tomato__fruit,tomato,fruit,domates_bacterial_spot_and_speck_meyve,tomato,fruit,domates_bacterial_spot_and_speck_meyve,apricot__fruit,kayısıda_şarka_virüsü_meyve_230,banana,unknown,,0.56706778,0.00445844,prototype_evidence_weak,router,fail,exclude_ambiguous,reviewed_router_only,deferred_router_only,router-only conservative review: deferred as ambiguous or outside current priority slice
demo_395,staged_external:docs/demo_assets/m2_full_image_set/images/demo_395_tomato_fruit.jpg,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_395_tomato_fruit.jpg,tomato__fruit,tomato,fruit,domates_late_blight_meyve,tomato,fruit,domates_late_blight_meyve,apricot__fruit,kayısıda_şarka_virüsü_meyve_230,honeydew,unknown,,0.61297371,0.01775816,prototype_evidence_weak,router,fail,exclude_ambiguous,reviewed_router_only,deferred_router_only,router-only conservative review: deferred as ambiguous or outside current priority slice
demo_398,staged_external:docs/demo_assets/m2_full_image_set/images/demo_398_tomato_fruit.jpg,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_398_tomato_fruit.jpg,tomato__fruit,tomato,fruit,domates_late_blight_meyve,tomato,fruit,domates_late_blight_meyve,apricot__fruit,kayısıda_şarka_virüsü_meyve_230,avocado,unknown,,0.55405532,0.00667449,prototype_evidence_weak,router,fail,exclude_ambiguous,reviewed_router_only,deferred_router_only,router-only conservative review: deferred as ambiguous or outside current priority slice
demo_399,staged_external:docs/demo_assets/m2_full_image_set/images/demo_399_tomato_fruit.jpg,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_399_tomato_fruit.jpg,tomato__fruit,tomato,fruit,domates_late_blight_meyve,tomato,fruit,domates_late_blight_meyve,apricot__fruit,kayısıda_şarka_virüsü_meyve_230,pepper,bud,,0.57438389,0.01140969,prototype_evidence_weak,router,fail,exclude_ambiguous,reviewed_router_only,deferred_router_only,router-only conservative review: deferred as ambiguous or outside current priority slice
demo_409,staged_external:docs/demo_assets/m2_full_image_set/images/demo_409_tomato_fruit.jpg,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_409_tomato_fruit.jpg,tomato__fruit,tomato,fruit,domates_spotted_wilt_meyve,tomato,fruit,domates_spotted_wilt_meyve,apricot__fruit,kayısıda_şarka_virüsü_meyve_230,plum,unknown,,0.63584709,0.01882583,prototype_evidence_weak,router,fail,exclude_ambiguous,reviewed_router_only,deferred_router_only,router-only conservative review: deferred as ambiguous or outside current priority slice
demo_509,staged_external:docs/demo_assets/m2_full_image_set/images/demo_509_tomato_leaf.jpg,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_509_tomato_leaf.jpg,tomato__leaf,tomato,leaf,domates_spotted_wilt_yaprak,tomato,leaf,domates_spotted_wilt_yaprak,tomato__fruit,domates_sağlıklı_meyve,tomato,leaf,,0.6091638,0.02420663,prototype_evidence_weak,router,fail,exclude_ambiguous,reviewed_router_only,deferred_router_only,router-only conservative review: deferred as ambiguous or outside current priority slice
