image_id,source,resolved_image,expected_target,expected_crop,expected_part,expected_class,corrected_crop,corrected_part,corrected_class,prototype_target,prototype_class_label,predicted_crop,predicted_part,predicted_disease,prototype_similarity,prototype_margin,reconcile_reason,failure_bucket,pass_fail,review_decision,prototype_quality,adapter_training_quality,review_notes
demo_162,staged_external:docs/demo_assets/m2_full_image_set/images/demo_162_apricot_fruit.jpg,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_162_apricot_fruit.jpg,apricot__fruit,apricot,fruit,kayısıda_yaprak_delen_çil_hastalığı_meyve_128,apricot,fruit,kayısıda_yaprak_delen_çil_hastalığı_meyve_128,apricot__leaf,kayısı_yaprak_delen_çil_hastalığı_yaprak_300,plum,unknown,,0.6018691,0.03973736,negative_prototype_too_close,router,fail,add_prototype_hard_negative,cross_target_negative,deferred_router_only,cross-target near prototype; use as hard negative for prototype_target without weakening gates
demo_265,staged_external:docs/demo_assets/m2_full_image_set/images/demo_265_grape_leaf.jpg,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_265_grape_leaf.jpg,grape__leaf,grape,leaf,üzüm_leafroll_virüs_yaprak,grape,leaf,üzüm_leafroll_virüs_yaprak,grape__fruit,üzüm_sağlıklı_meyve,grape,leaf,,0.64187345,0.01350508,negative_prototype_too_close,router,fail,add_prototype_hard_negative,cross_target_negative,deferred_router_only,cross-target near prototype; use as hard negative for prototype_target without weakening gates
demo_356,staged_external:docs/demo_assets/m2_full_image_set/images/demo_356_strawberry_leaf.jpg,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_356_strawberry_leaf.jpg,strawberry__leaf,strawberry,leaf,strawberry_leaf_spot_leaf,strawberry,leaf,strawberry_leaf_spot_leaf,strawberry__fruit,strawberry_anthracnose_fruit,strawberry,fruit,,0.64284037,0.0161439,negative_prototype_too_close,router,fail,add_prototype_hard_negative,cross_target_negative,deferred_router_only,cross-target near prototype; use as hard negative for prototype_target without weakening gates
demo_006,staged_external:docs/demo_assets/m2_full_image_set/images/demo_006_tomato_leaf.jpg,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_006_tomato_leaf.jpg,tomato__leaf,tomato,leaf,domates_bacterial_spot_and_speck_yaprak,tomato,leaf,domates_bacterial_spot_and_speck_yaprak,tomato__fruit,domates_late_blight_meyve,tomato,leaf,,0.6201445,0.01350398,negative_prototype_too_close,router,fail,add_prototype_hard_negative,cross_target_negative,deferred_router_only,cross-target near prototype; use as hard negative for prototype_target without weakening gates
demo_439,staged_external:docs/demo_assets/m2_full_image_set/images/demo_439_tomato_leaf.jpg,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_439_tomato_leaf.jpg,tomato__leaf,tomato,leaf,domates_leaf_mold_yaprak,tomato,leaf,domates_leaf_mold_yaprak,tomato__fruit,domates_late_blight_meyve,tomato,leaf,,0.62855619,0.01527046,negative_prototype_too_close,router,fail,add_prototype_hard_negative,cross_target_negative,deferred_router_only,cross-target near prototype; use as hard negative for prototype_target without weakening gates
demo_442,staged_external:docs/demo_assets/m2_full_image_set/images/demo_442_tomato_leaf.jpg,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_442_tomato_leaf.jpg,tomato__leaf,tomato,leaf,domates_leaf_mold_yaprak,tomato,leaf,domates_leaf_mold_yaprak,tomato__fruit,domates_late_blight_meyve,tomato,leaf,,0.63495778,0.00406755,negative_prototype_too_close,router,fail,add_prototype_hard_negative,cross_target_negative,deferred_router_only,cross-target near prototype; use as hard negative for prototype_target without weakening gates
demo_165,staged_external:docs/demo_assets/m2_full_image_set/images/demo_165_apricot_fruit.jpg,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_165_apricot_fruit.jpg,apricot__fruit,apricot,fruit,kayısıda_yaprak_delen_çil_hastalığı_meyve_128,apricot,fruit,kayısıda_yaprak_delen_çil_hastalığı_meyve_128,apricot__leaf,kayısı_yaprak_delen_çil_hastalığı_yaprak_300,plum,unknown,,0.67254014,0.08823326,negative_prototype_too_close,router,fail,add_prototype_hard_negative,cross_target_negative,deferred_router_only,cross-target near prototype; use as hard negative for prototype_target without weakening gates
demo_498,staged_external:docs/demo_assets/m2_full_image_set/images/demo_498_tomato_leaf.jpg,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_498_tomato_leaf.jpg,tomato__leaf,tomato,leaf,domates_sağlıklı_yaprak,tomato,leaf,domates_sağlıklı_yaprak,tomato__fruit,domates_sağlıklı_meyve,potato,leaf,,0.64758572,0.04207815,negative_prototype_too_close,router,fail,add_prototype_hard_negative,cross_target_negative,deferred_router_only,cross-target near prototype; use as hard negative for prototype_target without weakening gates
demo_058,staged_external:docs/demo_assets/m2_full_image_set/images/demo_058_tomato_fruit.jpg,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_058_tomato_fruit.jpg,tomato__fruit,tomato,fruit,domates_bacterial_spot_and_speck_meyve,tomato,fruit,domates_bacterial_spot_and_speck_meyve,apricot__fruit,kayısıda_yaprak_delen_çil_hastalığı_meyve_128,plum,unknown,,0.60266421,0.01617204,prototype_evidence_weak,router,fail,add_prototype_hard_negative,reviewed_cross_target_hard_negative,not_for_adapter_training,reviewed: clear expected target too close to wrong prototype target
demo_366,staged_external:docs/demo_assets/m2_full_image_set/images/demo_366_tomato_fruit.jpg,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_366_tomato_fruit.jpg,tomato__fruit,tomato,fruit,domates_bacterial_spot_and_speck_meyve,tomato,fruit,domates_bacterial_spot_and_speck_meyve,apricot__fruit,kayısıda_şarka_virüsü_meyve_230,banana,unknown,,0.56706778,0.00337518,prototype_evidence_weak,router,fail,add_prototype_hard_negative,reviewed_cross_target_hard_negative,not_for_adapter_training,reviewed: clear expected target too close to wrong prototype target
