"rank","priority_score","priority_reasons","image_id","resolved_image","source","expected_target","expected_crop","expected_part","expected_class","actual_status","predicted_crop","predicted_part","predicted_disease","prototype_target","prototype_class_label","prototype_similarity","prototype_margin","reconcile_reason","failure_bucket","pass_fail","review_decision","corrected_crop","corrected_part","corrected_class","prototype_quality","adapter_training_quality","review_notes"
"1","1460","answered_wrong|focus_target|prototype_overrode_untrusted_router_handoff|failed_row|low_prototype_margin","demo_149","/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_149_apricot_fruit.jpg","staged_external:docs/demo_assets/m2_full_image_set/images/demo_149_apricot_fruit.jpg","apricot__fruit","apricot","fruit","kayısıda_şarka_virüsü_meyve_230","success","apricot","fruit","kayısıda_yaprak_delen_çil_hastalığı_meyve_128","apricot__fruit","kayısıda_şeftali_karalekesi_meyve_232","0.581935","0.03387766","prototype_overrode_untrusted_router_handoff","","fail","add_adapter_train","apricot","fruit","kayısıda_şarka_virüsü_meyve_230","not_selected","hard_example_wrong_disease_answer","Crop/part reached adapter but disease answer was wrong; use for adapter hard-example review."
"2","1460","answered_wrong|focus_target|prototype_overrode_untrusted_router_handoff|failed_row|low_prototype_margin","demo_321","/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_321_strawberry_fruit.jpg","staged_external:docs/demo_assets/m2_full_image_set/images/demo_321_strawberry_fruit.jpg","strawberry__fruit","strawberry","fruit","strawberry_healthy_fruit","success","strawberry","fruit","strawberry_unripe_fruit","strawberry__fruit","strawberry_healthy_fruit","0.55348656","0.03422529","prototype_overrode_untrusted_router_handoff","","fail","add_adapter_train","strawberry","fruit","strawberry_healthy_fruit","not_selected","hard_example_wrong_disease_answer","Crop/part reached adapter but disease answer was wrong; use for adapter hard-example review."
"3","1460","answered_wrong|focus_target|prototype_overrode_untrusted_router_handoff|failed_row|low_prototype_margin","demo_334","/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_334_strawberry_fruit.jpg","staged_external:docs/demo_assets/m2_full_image_set/images/demo_334_strawberry_fruit.jpg","strawberry__fruit","strawberry","fruit","strawberry_healthy_fruit","success","strawberry","fruit","strawberry_unripe_fruit","strawberry__fruit","strawberry_healthy_fruit","0.56756648","0.030908","prototype_overrode_untrusted_router_handoff","","fail","add_adapter_train","strawberry","fruit","strawberry_healthy_fruit","not_selected","hard_example_wrong_disease_answer","Crop/part reached adapter but disease answer was wrong; use for adapter hard-example review."
"4","1420","answered_wrong|focus_target|prototype_overrode_untrusted_router_handoff|failed_row","demo_026","/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_026_apricot_fruit.jpg","staged_external:docs/demo_assets/m2_full_image_set/images/demo_026_apricot_fruit.jpg","apricot__fruit","apricot","fruit","kayısıda_çiçek_monilyası_meyve_40","success","apricot","fruit","kayısı_sağlıklı_meyve_800","apricot__fruit","kayısıda_çiçek_monilyası_meyve_40","0.63925056","0.06793944","prototype_overrode_untrusted_router_handoff","","fail","add_adapter_train","apricot","fruit","kayısıda_çiçek_monilyası_meyve_40","not_selected","hard_example_wrong_disease_answer","Crop/part reached adapter but disease answer was wrong; use for adapter hard-example review."
"5","1420","answered_wrong|focus_target|prototype_overrode_untrusted_router_handoff|failed_row","demo_115","/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_115_apricot_fruit.jpg","staged_external:docs/demo_assets/m2_full_image_set/images/demo_115_apricot_fruit.jpg","apricot__fruit","apricot","fruit","kayısıda_şarka_virüsü_meyve_230","success","apricot","fruit","kayısıda_şeftali_karalekesi_meyve_232","apricot__fruit","kayısıda_şeftali_karalekesi_meyve_232","0.63108834","0.06607733","prototype_overrode_untrusted_router_handoff","","fail","add_adapter_train","apricot","fruit","kayısıda_şarka_virüsü_meyve_230","not_selected","hard_example_wrong_disease_answer","Crop/part reached adapter but disease answer was wrong; use for adapter hard-example review."
"6","1420","answered_wrong|focus_target|prototype_overrode_untrusted_router_handoff|failed_row","demo_159","/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_159_apricot_fruit.jpg","staged_external:docs/demo_assets/m2_full_image_set/images/demo_159_apricot_fruit.jpg","apricot__fruit","apricot","fruit","kayısıda_şeftali_karalekesi_meyve_232","success","apricot","fruit","kayısıda_yaprak_delen_çil_hastalığı_meyve_128","apricot__fruit","kayısıda_yaprak_delen_çil_hastalığı_meyve_128","0.65369047","0.0997002","prototype_overrode_untrusted_router_handoff","","fail","add_adapter_train","apricot","fruit","kayısıda_şeftali_karalekesi_meyve_232","not_selected","hard_example_wrong_disease_answer","Crop/part reached adapter but disease answer was wrong; use for adapter hard-example review."
"7","1420","answered_wrong|focus_target|prototype_overrode_untrusted_router_handoff|failed_row","demo_161","/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_161_apricot_fruit.jpg","staged_external:docs/demo_assets/m2_full_image_set/images/demo_161_apricot_fruit.jpg","apricot__fruit","apricot","fruit","kayısıda_yaprak_delen_çil_hastalığı_meyve_128","success","apricot","fruit","kayısıda_şeftali_karalekesi_meyve_232","apricot__fruit","kayısıda_şeftali_karalekesi_meyve_232","0.62434332","0.05945178","prototype_overrode_untrusted_router_handoff","","fail","add_adapter_train","apricot","fruit","kayısıda_yaprak_delen_çil_hastalığı_meyve_128","not_selected","hard_example_wrong_disease_answer","Crop/part reached adapter but disease answer was wrong; use for adapter hard-example review."
"8","1420","answered_wrong|focus_target|prototype_overrode_untrusted_router_handoff|failed_row","demo_164","/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_164_apricot_fruit.jpg","staged_external:docs/demo_assets/m2_full_image_set/images/demo_164_apricot_fruit.jpg","apricot__fruit","apricot","fruit","kayısıda_yaprak_delen_çil_hastalığı_meyve_128","success","apricot","fruit","kayısıda_şeftali_karalekesi_meyve_232","apricot__fruit","kayısıda_şeftali_karalekesi_meyve_232","0.64661364","0.08730866","prototype_overrode_untrusted_router_handoff","","fail","add_adapter_train","apricot","fruit","kayısıda_yaprak_delen_çil_hastalığı_meyve_128","not_selected","hard_example_wrong_disease_answer","Crop/part reached adapter but disease answer was wrong; use for adapter hard-example review."
"9","1420","answered_wrong|focus_target|prototype_overrode_untrusted_router_handoff|failed_row","demo_170","/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_170_apricot_fruit.jpg","staged_external:docs/demo_assets/m2_full_image_set/images/demo_170_apricot_fruit.jpg","apricot__fruit","apricot","fruit","kayısıda_yaprak_delen_çil_hastalığı_meyve_128","success","apricot","fruit","kayısıda_şeftali_karalekesi_meyve_232","apricot__fruit","kayısıda_yaprak_delen_çil_hastalığı_meyve_128","0.63972273","0.07129677","prototype_overrode_untrusted_router_handoff","","fail","add_adapter_train","apricot","fruit","kayısıda_yaprak_delen_çil_hastalığı_meyve_128","not_selected","hard_example_wrong_disease_answer","Crop/part reached adapter but disease answer was wrong; use for adapter hard-example review."
"10","1420","answered_wrong|focus_target|prototype_overrode_untrusted_router_handoff|failed_row","demo_178","/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_178_apricot_fruit.jpg","staged_external:docs/demo_assets/m2_full_image_set/images/demo_178_apricot_fruit.jpg","apricot__fruit","apricot","fruit","kayısıda_şeftali_karalekesi_meyve_232","success","apricot","fruit","kayısıda_yaprak_delen_çil_hastalığı_meyve_128","apricot__fruit","kayısıda_yaprak_delen_çil_hastalığı_meyve_128","0.63534585","0.06360979","prototype_overrode_untrusted_router_handoff","","fail","add_adapter_train","apricot","fruit","kayısıda_şeftali_karalekesi_meyve_232","not_selected","hard_example_wrong_disease_answer","Crop/part reached adapter but disease answer was wrong; use for adapter hard-example review."
