rank,priority_score,priority_reasons,image_id,resolved_image,source,expected_target,expected_crop,expected_part,expected_class,actual_status,predicted_crop,predicted_part,predicted_disease,prototype_target,prototype_class_label,prototype_similarity,prototype_margin,reconcile_reason,failure_bucket,pass_fail,review_decision,corrected_crop,corrected_part,corrected_class,prototype_quality,adapter_training_quality,review_notes
1,520,router_failure|prototype_evidence_weak|failed_row|low_prototype_margin|prototype_correct_but_abstained,demo_145,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_145_apricot_fruit.jpg,staged_external:docs/demo_assets/m2_full_image_set/images/demo_145_apricot_fruit.jpg,apricot__fruit,apricot,fruit,kayısıda_şarka_virüsü_meyve_230,unknown_crop,cucumber,fruit,,apricot__fruit,kayısıda_şarka_virüsü_meyve_230,0.60837298,0.01398668,prototype_evidence_weak,router,fail,add_prototype_positive,,,,same_target_positive,deferred_router_only,same-target router/prototype failure in priority target; add as curated positive for target/class coverage
2,520,router_failure|prototype_evidence_weak|failed_row|low_prototype_margin|prototype_correct_but_abstained,demo_146,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_146_apricot_fruit.jpg,staged_external:docs/demo_assets/m2_full_image_set/images/demo_146_apricot_fruit.jpg,apricot__fruit,apricot,fruit,kayısıda_şarka_virüsü_meyve_230,unknown_crop,plum,unknown,,apricot__fruit,kayısıda_yaprak_delen_çil_hastalığı_meyve_128,0.59137359,0.02127305,prototype_evidence_weak,router,fail,add_prototype_positive,,,,same_target_positive,deferred_router_only,same-target router/prototype failure in priority target; add as curated positive for target/class coverage
3,520,router_failure|prototype_evidence_weak|failed_row|low_prototype_margin|prototype_correct_but_abstained,demo_174,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_174_apricot_fruit.jpg,staged_external:docs/demo_assets/m2_full_image_set/images/demo_174_apricot_fruit.jpg,apricot__fruit,apricot,fruit,kayısıda_şeftali_karalekesi_meyve_232,unknown_crop,,,,apricot__fruit,kayısıda_şarka_virüsü_meyve_230,0.58801107,0.02771904,prototype_evidence_weak,router,fail,add_prototype_positive,,,,same_target_positive,deferred_router_only,same-target router/prototype failure in priority target; add as curated positive for target/class coverage
4,520,router_failure|prototype_evidence_weak|failed_row|low_prototype_margin|prototype_correct_but_abstained,demo_029,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_029_apricot_leaf.jpg,staged_external:docs/demo_assets/m2_full_image_set/images/demo_029_apricot_leaf.jpg,apricot__leaf,apricot,leaf,kayısı_şarka_virüsü_yaprak_206,unknown_crop,plum,unknown,,apricot__leaf,kayısı_şarka_virüsü_yaprak_206,0.55654597,0.0253757,prototype_evidence_weak,router,fail,exclude_ambiguous,,,,reviewed_router_only,deferred_router_only,router-only conservative review: deferred as ambiguous or outside current priority slice
5,520,router_failure|prototype_evidence_weak|failed_row|low_prototype_margin|prototype_correct_but_abstained,demo_030,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_030_apricot_leaf.jpg,staged_external:docs/demo_assets/m2_full_image_set/images/demo_030_apricot_leaf.jpg,apricot__leaf,apricot,leaf,kayısı_şarka_virüsü_yaprak_206,unknown_crop,kiwi,unknown,,apricot__leaf,kayısı_sağlıklı_yaprak_302,0.59953738,0.02383192,prototype_evidence_weak,router,fail,exclude_ambiguous,,,,reviewed_router_only,deferred_router_only,router-only conservative review: deferred as ambiguous or outside current priority slice
6,520,router_failure|prototype_evidence_weak|failed_row|low_prototype_margin|prototype_correct_but_abstained,demo_285,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_285_grape_leaf.jpg,staged_external:docs/demo_assets/m2_full_image_set/images/demo_285_grape_leaf.jpg,grape__leaf,grape,leaf,üzüm_yelpaze_virüsü_yaprak,unknown_crop,celery,unknown,,grape__leaf,üzüm_yelpaze_virüsü_yaprak,0.53963989,0.00388052,prototype_evidence_weak,router,fail,exclude_ambiguous,,,,reviewed_router_only,deferred_router_only,router-only conservative review: deferred as ambiguous or outside current priority slice
7,520,router_failure|prototype_evidence_weak|failed_row|low_prototype_margin|prototype_correct_but_abstained,demo_305,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_305_strawberry_fruit.jpg,staged_external:docs/demo_assets/m2_full_image_set/images/demo_305_strawberry_fruit.jpg,strawberry__fruit,strawberry,fruit,strawberry_gray_mold_fruit,unknown_crop,orange,unknown,,strawberry__fruit,strawberry_gray_mold_fruit,0.54476615,0.02734254,prototype_evidence_weak,router,fail,add_prototype_positive,,,,same_target_positive,deferred_router_only,same-target router/prototype failure in priority target; add as curated positive for target/class coverage
8,520,router_failure|prototype_evidence_weak|failed_row|low_prototype_margin|prototype_correct_but_abstained,demo_308,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_308_strawberry_fruit.jpg,staged_external:docs/demo_assets/m2_full_image_set/images/demo_308_strawberry_fruit.jpg,strawberry__fruit,strawberry,fruit,strawberry_powdery_mildew_fruit,unknown_crop,honeydew,unknown,,strawberry__fruit,strawberry_gray_mold_fruit,0.54461635,0.00497287,prototype_evidence_weak,router,fail,add_prototype_positive,,,,same_target_positive,deferred_router_only,same-target router/prototype failure in priority target; add as curated positive for target/class coverage
9,520,router_failure|prototype_evidence_weak|failed_row|low_prototype_margin|prototype_correct_but_abstained,demo_311,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_311_strawberry_fruit.jpg,staged_external:docs/demo_assets/m2_full_image_set/images/demo_311_strawberry_fruit.jpg,strawberry__fruit,strawberry,fruit,strawberry_powdery_mildew_fruit,unknown_crop,pear,unknown,,strawberry__fruit,strawberry_healthy_fruit,0.57296653,0.01508997,prototype_evidence_weak,router,fail,add_prototype_positive,,,,same_target_positive,deferred_router_only,same-target router/prototype failure in priority target; add as curated positive for target/class coverage
10,520,router_failure|prototype_evidence_weak|failed_row|low_prototype_margin|prototype_correct_but_abstained,demo_334,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_334_strawberry_fruit.jpg,staged_external:docs/demo_assets/m2_full_image_set/images/demo_334_strawberry_fruit.jpg,strawberry__fruit,strawberry,fruit,strawberry_healthy_fruit,unknown_crop,cantaloupe,unknown,,strawberry__fruit,strawberry_healthy_fruit,0.56613016,0.0286719,prototype_evidence_weak,router,fail,add_prototype_positive,,,,same_target_positive,deferred_router_only,same-target router/prototype failure in priority target; add as curated positive for target/class coverage
11,520,router_failure|prototype_evidence_weak|failed_row|low_prototype_margin|prototype_correct_but_abstained,demo_056,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_056_tomato_fruit.jpg,staged_external:docs/demo_assets/m2_full_image_set/images/demo_056_tomato_fruit.jpg,tomato__fruit,tomato,fruit,domates_bacterial_spot_and_speck_meyve,unknown_crop,eggplant,unknown,,tomato__fruit,domates_late_blight_meyve,0.5917392,0.02185368,prototype_evidence_weak,router,fail,add_prototype_positive,,,,same_target_positive,deferred_router_only,same-target router/prototype failure in priority target; add as curated positive for target/class coverage
12,520,router_failure|prototype_evidence_weak|failed_row|low_prototype_margin|prototype_correct_but_abstained,demo_057,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_057_tomato_fruit.jpg,staged_external:docs/demo_assets/m2_full_image_set/images/demo_057_tomato_fruit.jpg,tomato__fruit,tomato,fruit,domates_bacterial_spot_and_speck_meyve,unknown_crop,eggplant,unknown,,tomato__fruit,domates_late_blight_meyve,0.64059393,0.02269732,prototype_evidence_weak,router,fail,add_prototype_positive,,,,same_target_positive,deferred_router_only,same-target router/prototype failure in priority target; add as curated positive for target/class coverage
13,520,router_failure|prototype_evidence_weak|failed_row|low_prototype_margin|prototype_correct_but_abstained,demo_373,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_373_tomato_fruit.jpg,staged_external:docs/demo_assets/m2_full_image_set/images/demo_373_tomato_fruit.jpg,tomato__fruit,tomato,fruit,domates_blossom_end_rot_meyve,unknown_crop,eggplant,unknown,,tomato__fruit,domates_blossom_end_rot_meyve,0.60110575,0.02506501,prototype_evidence_weak,router,fail,add_prototype_positive,,,,same_target_positive,deferred_router_only,same-target router/prototype failure in priority target; add as curated positive for target/class coverage
14,520,router_failure|prototype_evidence_weak|failed_row|low_prototype_margin|prototype_correct_but_abstained,demo_383,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_383_tomato_fruit.jpg,staged_external:docs/demo_assets/m2_full_image_set/images/demo_383_tomato_fruit.jpg,tomato__fruit,tomato,fruit,domates_gray_mold_meyve,unknown_crop,eggplant,unknown,,tomato__fruit,domates_gray_mold_meyve,0.65196631,0.02699908,prototype_evidence_weak,router,fail,add_prototype_positive,,,,same_target_positive,deferred_router_only,same-target router/prototype failure in priority target; add as curated positive for target/class coverage
