rank,priority_score,priority_reasons,image_id,resolved_image,source,expected_target,expected_crop,expected_part,expected_class,actual_status,predicted_crop,predicted_part,predicted_disease,prototype_target,prototype_class_label,prototype_similarity,prototype_margin,reconcile_reason,failure_bucket,pass_fail,review_decision,corrected_crop,corrected_part,corrected_class,prototype_quality,adapter_training_quality,review_notes
1,1605,answered_wrong|prototype_overrode_untrusted_router_handoff|failed_row|low_prototype_margin|repeated_target|repeated_class_pair|crop_part_correct_disease_wrong,demo_321,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_321_strawberry_fruit.jpg,staged_external:docs/demo_assets/m2_full_image_set/images/demo_321_strawberry_fruit.jpg,strawberry__fruit,strawberry,fruit,strawberry_healthy_fruit,success,strawberry,fruit,strawberry_unripe_fruit,strawberry__fruit,strawberry_healthy_fruit,0.55328844,0.03388001,prototype_overrode_untrusted_router_handoff,,fail,relabel:strawberry_unripe_fruit,,,strawberry_unripe_fruit,not_for_prototype,not_for_adapter_training,visible unripe strawberry fruit; predicted unripe label is more plausible than healthy
2,1605,answered_wrong|prototype_overrode_untrusted_router_handoff|failed_row|low_prototype_margin|repeated_target|repeated_class_pair|crop_part_correct_disease_wrong,demo_334,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_334_strawberry_fruit.jpg,staged_external:docs/demo_assets/m2_full_image_set/images/demo_334_strawberry_fruit.jpg,strawberry__fruit,strawberry,fruit,strawberry_healthy_fruit,success,strawberry,fruit,strawberry_unripe_fruit,strawberry__fruit,strawberry_healthy_fruit,0.5677193,0.03026104,prototype_overrode_untrusted_router_handoff,,fail,relabel:strawberry_unripe_fruit,,,strawberry_unripe_fruit,not_for_prototype,not_for_adapter_training,visible unripe strawberry fruit; predicted unripe label is more plausible than healthy
3,1565,answered_wrong|prototype_overrode_untrusted_router_handoff|failed_row|repeated_target|repeated_class_pair|crop_part_correct_disease_wrong,demo_333,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_333_strawberry_fruit.jpg,staged_external:docs/demo_assets/m2_full_image_set/images/demo_333_strawberry_fruit.jpg,strawberry__fruit,strawberry,fruit,strawberry_healthy_fruit,success,strawberry,fruit,strawberry_unripe_fruit,strawberry__fruit,strawberry_healthy_fruit,0.59937106,0.05812588,prototype_overrode_untrusted_router_handoff,,fail,relabel:strawberry_unripe_fruit,,,strawberry_unripe_fruit,not_for_prototype,not_for_adapter_training,visible unripe strawberry fruit; predicted unripe label is more plausible than healthy
4,1555,answered_wrong|prototype_overrode_calibrated_part_conflict|failed_row|repeated_target|repeated_class_pair|crop_part_correct_disease_wrong,demo_323,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_323_strawberry_fruit.jpg,staged_external:docs/demo_assets/m2_full_image_set/images/demo_323_strawberry_fruit.jpg,strawberry__fruit,strawberry,fruit,strawberry_healthy_fruit,success,strawberry,fruit,strawberry_unripe_fruit,strawberry__fruit,strawberry_healthy_fruit,0.65629857,0.08255922,prototype_overrode_calibrated_part_conflict,,fail,relabel:strawberry_unripe_fruit,,,strawberry_unripe_fruit,not_for_prototype,not_for_adapter_training,visible unripe strawberry fruit; predicted unripe label is more plausible than healthy
5,1555,answered_wrong|prototype_overrode_calibrated_part_conflict|failed_row|repeated_target|repeated_class_pair|crop_part_correct_disease_wrong,demo_324,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_324_strawberry_fruit.jpg,staged_external:docs/demo_assets/m2_full_image_set/images/demo_324_strawberry_fruit.jpg,strawberry__fruit,strawberry,fruit,strawberry_healthy_fruit,success,strawberry,fruit,strawberry_unripe_fruit,strawberry__fruit,strawberry_healthy_fruit,0.68747206,0.09497109,prototype_overrode_calibrated_part_conflict,,fail,relabel:strawberry_unripe_fruit,,,strawberry_unripe_fruit,not_for_prototype,not_for_adapter_training,visible unripe strawberry fruit; predicted unripe label is more plausible than healthy
6,1555,answered_wrong|prototype_overrode_calibrated_part_conflict|failed_row|repeated_target|repeated_class_pair|crop_part_correct_disease_wrong,demo_331,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_331_strawberry_fruit.jpg,staged_external:docs/demo_assets/m2_full_image_set/images/demo_331_strawberry_fruit.jpg,strawberry__fruit,strawberry,fruit,strawberry_healthy_fruit,success,strawberry,fruit,strawberry_unripe_fruit,strawberry__fruit,strawberry_healthy_fruit,0.66359405,0.09846647,prototype_overrode_calibrated_part_conflict,,fail,relabel:strawberry_unripe_fruit,,,strawberry_unripe_fruit,not_for_prototype,not_for_adapter_training,visible unripe strawberry fruit; predicted unripe label is more plausible than healthy
7,1495,answered_wrong|prototype_overrode_calibrated_part_conflict|failed_row|low_prototype_margin|repeated_target|repeated_class_pair|crop_part_correct_disease_wrong,demo_307,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_307_strawberry_fruit.jpg,staged_external:docs/demo_assets/m2_full_image_set/images/demo_307_strawberry_fruit.jpg,strawberry__fruit,strawberry,fruit,strawberry_gray_mold_fruit,success,strawberry,fruit,strawberry_anthracnose_fruit,strawberry__fruit,strawberry_gray_mold_fruit,0.59267873,0.03924654,prototype_overrode_calibrated_part_conflict,,fail,add_adapter_train,,,,not_for_prototype,reviewed_adapter_hard_example,reviewed: clear strawberry gray mold/fuzzy rot hard example
8,1465,answered_wrong|prototype_overrode_untrusted_router_handoff|failed_row|low_prototype_margin|repeated_target|repeated_class_pair|crop_part_correct_disease_wrong,demo_215,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_215_grape_fruit.jpg,staged_external:docs/demo_assets/m2_full_image_set/images/demo_215_grape_fruit.jpg,grape__fruit,grape,fruit,üzüm_külleme_meyve,success,grape,fruit,u_zu_m_mildiyo_meyve,grape__fruit,üzüm_külleme_meyve,0.5669322,0.02803462,prototype_overrode_untrusted_router_handoff,,fail,add_adapter_train,,,,not_for_prototype,reviewed_adapter_hard_example,reviewed: grape powdery mildew fruit example is usable unless row-specific note excludes it
9,1460,answered_wrong|prototype_overrode_untrusted_router_handoff|failed_row|repeated_target|repeated_class_pair|crop_part_correct_disease_wrong,demo_161,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_161_apricot_fruit.jpg,staged_external:docs/demo_assets/m2_full_image_set/images/demo_161_apricot_fruit.jpg,apricot__fruit,apricot,fruit,kayısıda_yaprak_delen_çil_hastalığı_meyve_128,success,apricot,fruit,kayısıda_şeftali_karalekesi_meyve_232,apricot__fruit,kayısıda_şeftali_karalekesi_meyve_232,0.62437604,0.0594845,prototype_overrode_untrusted_router_handoff,,fail,exclude_ambiguous,,,,not_for_prototype,not_for_adapter_training,apricot shot-hole vs peach-scab fruit spots are visually ambiguous
10,1460,answered_wrong|prototype_overrode_untrusted_router_handoff|failed_row|repeated_target|repeated_class_pair|crop_part_correct_disease_wrong,demo_164,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_164_apricot_fruit.jpg,staged_external:docs/demo_assets/m2_full_image_set/images/demo_164_apricot_fruit.jpg,apricot__fruit,apricot,fruit,kayısıda_yaprak_delen_çil_hastalığı_meyve_128,success,apricot,fruit,kayısıda_şeftali_karalekesi_meyve_232,apricot__fruit,kayısıda_şeftali_karalekesi_meyve_232,0.64668313,0.08641017,prototype_overrode_untrusted_router_handoff,,fail,exclude_ambiguous,,,,not_for_prototype,not_for_adapter_training,apricot shot-hole vs peach-scab fruit spots are visually ambiguous
11,1460,answered_wrong|prototype_overrode_untrusted_router_handoff|failed_row|repeated_target|repeated_class_pair|crop_part_correct_disease_wrong,demo_170,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_170_apricot_fruit.jpg,staged_external:docs/demo_assets/m2_full_image_set/images/demo_170_apricot_fruit.jpg,apricot__fruit,apricot,fruit,kayısıda_yaprak_delen_çil_hastalığı_meyve_128,success,apricot,fruit,kayısıda_şeftali_karalekesi_meyve_232,apricot__fruit,kayısıda_yaprak_delen_çil_hastalığı_meyve_128,0.63905746,0.0706315,prototype_overrode_untrusted_router_handoff,,fail,exclude_ambiguous,,,,not_for_prototype,not_for_adapter_training,apricot shot-hole vs peach-scab fruit spots are visually ambiguous
12,1455,answered_wrong|prototype_overrode_calibrated_part_conflict|failed_row|low_prototype_margin|repeated_target|repeated_class_pair|crop_part_correct_disease_wrong,demo_217,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_217_grape_fruit.jpg,staged_external:docs/demo_assets/m2_full_image_set/images/demo_217_grape_fruit.jpg,grape__fruit,grape,fruit,üzüm_külleme_meyve,success,grape,fruit,u_zu_m_mildiyo_meyve,grape__fruit,üzüm_sağlıklı_meyve,0.65616663,0.03702048,prototype_overrode_calibrated_part_conflict,,fail,add_adapter_train,,,,not_for_prototype,reviewed_adapter_hard_example,reviewed: grape powdery mildew fruit example is usable unless row-specific note excludes it
13,1455,answered_wrong|prototype_overrode_untrusted_router_handoff|failed_row|low_prototype_margin|repeated_target|repeated_class_pair|crop_part_correct_disease_wrong,demo_425,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_425_tomato_leaf.png,staged_external:docs/demo_assets/m2_full_image_set/images/demo_425_tomato_leaf.png,tomato__leaf,tomato,leaf,domates_early_blight_yaprak,success,tomato,leaf,domates_late_blight_yaprak,tomato__leaf,domates_bacterial_spot_and_speck_yaprak,0.56054919,0.03235267,prototype_overrode_untrusted_router_handoff,,fail,exclude_ambiguous,,,,not_for_prototype,not_for_adapter_training,tomato early-vs-late-blight leaf distinction is low-signal from the image
