rank,priority_score,priority_reasons,image_id,resolved_image,source,expected_target,expected_crop,expected_part,expected_class,actual_status,predicted_crop,predicted_part,predicted_disease,prototype_target,prototype_class_label,prototype_similarity,prototype_margin,reconcile_reason,failure_bucket,pass_fail,review_decision,corrected_crop,corrected_part,corrected_class,prototype_quality,adapter_training_quality,review_notes
1,520,router_failure|prototype_evidence_weak|failed_row|low_prototype_margin|prototype_correct_but_abstained,demo_145,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_145_apricot_fruit.jpg,staged_external:docs/demo_assets/m2_full_image_set/images/demo_145_apricot_fruit.jpg,apricot__fruit,apricot,fruit,kayısıda_şarka_virüsü_meyve_230,unknown_crop,cucumber,fruit,,apricot__fruit,kayısıda_şarka_virüsü_meyve_230,0.60837298,0.01398668,prototype_evidence_weak,router,fail,exclude_ambiguous,,,,not_for_prototype,not_for_adapter_training,excluded: bitten/rotted apricot fruit is not a clean sharka prototype positive
2,520,router_failure|prototype_evidence_weak|failed_row|low_prototype_margin|prototype_correct_but_abstained,demo_285,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_285_grape_leaf.jpg,staged_external:docs/demo_assets/m2_full_image_set/images/demo_285_grape_leaf.jpg,grape__leaf,grape,leaf,üzüm_yelpaze_virüsü_yaprak,unknown_crop,celery,unknown,,grape__leaf,üzüm_yelpaze_virüsü_yaprak,0.53963989,0.00388052,prototype_evidence_weak,router,fail,exclude_ambiguous,,,,not_for_prototype,not_for_adapter_training,excluded: grape fanleaf image is low-signal/occluded
3,520,router_failure|prototype_evidence_weak|failed_row|low_prototype_margin|prototype_correct_but_abstained,demo_308,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_308_strawberry_fruit.jpg,staged_external:docs/demo_assets/m2_full_image_set/images/demo_308_strawberry_fruit.jpg,strawberry__fruit,strawberry,fruit,strawberry_powdery_mildew_fruit,unknown_crop,honeydew,unknown,,strawberry__fruit,strawberry_gray_mold_fruit,0.54461635,0.00497287,prototype_evidence_weak,router,fail,add_prototype_positive,,,,reviewed_same_target_positive,not_for_adapter_training,reviewed: clear same-target router/prototype positive
4,520,router_failure|prototype_evidence_weak|failed_row|low_prototype_margin|prototype_correct_but_abstained,demo_311,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_311_strawberry_fruit.jpg,staged_external:docs/demo_assets/m2_full_image_set/images/demo_311_strawberry_fruit.jpg,strawberry__fruit,strawberry,fruit,strawberry_powdery_mildew_fruit,unknown_crop,pear,unknown,,strawberry__fruit,strawberry_healthy_fruit,0.5735555,0.01567894,prototype_evidence_weak,router,fail,add_prototype_positive,,,,reviewed_same_target_positive,not_for_adapter_training,reviewed: clear same-target router/prototype positive
5,520,router_failure|prototype_evidence_weak|failed_row|low_prototype_margin|prototype_correct_but_abstained,demo_007,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_007_tomato_leaf.jpg,staged_external:docs/demo_assets/m2_full_image_set/images/demo_007_tomato_leaf.jpg,tomato__leaf,tomato,leaf,domates_bacterial_spot_and_speck_yaprak,unknown_crop,potato,unknown,,tomato__leaf,domates_late_blight_yaprak,0.61533053,0.01891917,prototype_evidence_weak,router,fail,exclude_ambiguous,,,,not_for_prototype,not_for_adapter_training,excluded: tomato leaf symptoms are not clean bacterial spot/speck prototype evidence
6,520,router_failure|prototype_evidence_weak|failed_row|low_prototype_margin|prototype_correct_but_abstained,demo_064,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_064_tomato_leaf.jpg,staged_external:docs/demo_assets/m2_full_image_set/images/demo_064_tomato_leaf.jpg,tomato__leaf,tomato,leaf,domates_early_blight_yaprak,router_uncertain,tomato,leaf,,tomato__leaf,domates_leaf_mold_yaprak,0.64212482,0.00815517,prototype_evidence_weak,router,fail,exclude_ambiguous,,,,not_for_prototype,not_for_adapter_training,excluded: tomato early blight vs leaf mold is visually ambiguous
7,520,router_failure|prototype_evidence_weak|failed_row|low_prototype_margin|prototype_correct_but_abstained,demo_065,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_065_tomato_leaf.png,staged_external:docs/demo_assets/m2_full_image_set/images/demo_065_tomato_leaf.png,tomato__leaf,tomato,leaf,domates_early_blight_yaprak,unknown_crop,guava,unknown,,tomato__leaf,domates_bacterial_spot_and_speck_yaprak,0.55247994,0.01362469,prototype_evidence_weak,router,fail,exclude_ambiguous,,,,not_for_prototype,not_for_adapter_training,excluded: tomato early blight vs bacterial spot/speck is visually ambiguous
8,520,router_failure|prototype_evidence_weak|failed_row|low_prototype_margin|prototype_correct_but_abstained,demo_432,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_432_tomato_leaf.png,staged_external:docs/demo_assets/m2_full_image_set/images/demo_432_tomato_leaf.png,tomato__leaf,tomato,leaf,domates_late_blight_yaprak,unknown_crop,potato,leaf,,tomato__leaf,domates_late_blight_yaprak,0.56293967,0.01856558,prototype_evidence_weak,router,fail,add_prototype_positive,,,,reviewed_same_target_positive,not_for_adapter_training,"reviewed: exact target/class tomato leaf prototype evidence, safe positive candidate"
9,520,router_failure|prototype_evidence_weak|failed_row|low_prototype_margin|prototype_correct_but_abstained,demo_440,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_440_tomato_leaf.jpg,staged_external:docs/demo_assets/m2_full_image_set/images/demo_440_tomato_leaf.jpg,tomato__leaf,tomato,leaf,domates_leaf_mold_yaprak,unknown_crop,eggplant,unknown,,tomato__leaf,domates_late_blight_yaprak,0.62282563,0.00224354,prototype_evidence_weak,router,fail,exclude_ambiguous,,,,not_for_prototype,not_for_adapter_training,excluded: ambiguous or low-signal router/prototype row
10,520,router_failure|prototype_evidence_weak|failed_row|low_prototype_margin|prototype_correct_but_abstained,demo_461,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_461_tomato_leaf.jpg,staged_external:docs/demo_assets/m2_full_image_set/images/demo_461_tomato_leaf.jpg,tomato__leaf,tomato,leaf,domates_powdery_mildew_yaprak,unknown_crop,lentil,unknown,,tomato__leaf,domates_powdery_mildew_yaprak,0.54750706,0.01685234,prototype_evidence_weak,router,fail,add_prototype_positive,,,,reviewed_same_target_positive,not_for_adapter_training,"reviewed: exact target/class tomato leaf prototype evidence, safe positive candidate"
