epoch,train_loss,val_loss,val_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,balanced_accuracy,generalization_gap
1,1.9611051150730678,1.9264031408213769,0.2773109243697479,0.0476190485060215,0.13865545392036438,0.07089151442050934,0.1417830330984933,0.13865545392036438,-0.03470197425169097
2,1.8806087357657297,1.7948099214489721,0.3277310924369748,0.15459540486335754,0.18332116305828094,0.1565079391002655,0.28080297518177194,0.18332116305828094,-0.08579881431675762
3,1.7743540048599242,1.591681862077793,0.5126050420168067,0.3364543616771698,0.278000146150589,0.2716832458972931,0.46211967147698924,0.278000146150589,-0.18267214278213117
4,1.6672012158802578,1.2178529921699972,0.5798319327731093,0.4312613010406494,0.3716955780982971,0.37748125195503235,0.5784119678144696,0.3716955780982971,-0.4493482237102606
5,1.5152292796543667,0.8894296173288041,0.680672268907563,0.5028971433639526,0.5137472748756409,0.4927632808685303,0.6707229614257812,0.5137472748756409,-0.6257996623255626
6,1.4720291512353079,0.7295363480303468,0.7563025210084033,0.6844738125801086,0.6337008476257324,0.6404245495796204,0.74984074440323,0.6337008476257324,-0.742492803204961
7,1.4543034553527832,0.6925047610988136,0.7647058823529411,0.6368147134780884,0.6394314169883728,0.6112427115440369,0.7628470028147978,0.6394314169883728,-0.7617986942539695
8,1.4119390044893538,0.5725101543073895,0.7899159663865546,0.6929512023925781,0.6626116037368774,0.6490670442581177,0.7857821168017989,0.6626116037368774,-0.8394288501819643
9,1.3795490605490548,0.5622337600764107,0.8319327731092437,0.8097667694091797,0.759584367275238,0.743488609790802,0.841322762625558,0.759584367275238,-0.8173153004726441
10,1.3686086177825927,0.36563083905131877,0.8907563025210085,0.8481764793395996,0.8489018678665161,0.8178762793540955,0.8967107564461332,0.8489018678665161,-1.002977778731274
11,1.350451363836016,0.39574100089674236,0.8907563025210085,0.8460898399353027,0.8372305631637573,0.806764543056488,0.8878075094784007,0.8372305631637573,-0.9547103629392737
12,1.325368435042245,0.3790839625005962,0.8823529411764706,0.841269850730896,0.8585637211799622,0.8323655724525452,0.8840258942932642,0.8585637211799622,-0.9462844725416488
13,1.3177184547696794,0.3159258125209007,0.8907563025210085,0.8625665307044983,0.8372305631637573,0.8222978711128235,0.8820537919757747,0.8372305631637573,-1.0017926422487786
14,1.3042805535452706,0.4318201536891841,0.8739495798319328,0.8581715822219849,0.842690646648407,0.8266690373420715,0.8735720850840336,0.842690646648407,-0.8724603998560865
15,1.2974023716790335,0.44163401337230906,0.8907563025210085,0.8522639870643616,0.862765371799469,0.841316282749176,0.892236533285189,0.862765371799469,-0.8557683583067244
16,1.2955762250082834,0.4322437839347775,0.8823529411764706,0.8613676428794861,0.8468923568725586,0.8307779431343079,0.8819332603646928,0.8468923568725586,-0.8633324410735059
17,1.290808003289359,0.4222032683236258,0.8907563025210085,0.8524079918861389,0.8510940670967102,0.8298383951187134,0.8893810240160517,0.8510940670967102,-0.8686047349657331
18,1.278913082395281,0.38604547696955066,0.8907563025210085,0.8679152727127075,0.862765371799469,0.8490638732910156,0.8923477044626444,0.862765371799469,-0.8928676054257303
19,1.2708388226372855,0.38722224846607495,0.8991596638655462,0.8589556813240051,0.8669670820236206,0.8481243848800659,0.8997954681140035,0.8669670820236206,-0.8836165741712105
